_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine,label
11516,42,22795,deweys pub,"135 w 30th st, ,",10001,gastropubs,courtyard by marriott manhattan chelsea,135 w 30th st,10001,american,0
13343,52,18005,cafe hanamizuki,"143 w 29th st, ,",10001,cafes,hanamizuki cafe,143 w 29th st,10001,japanese,1
14779,58,16106,e-mo,"2 w 32nd st, ,",10001,korean,krush,2 w 32nd st,10001,american,0
14815,58,10428,e-mo,"2 w 32nd st, ,",10001,korean,mandoo bar,2 w 32nd st,10001,korean,0
15861,61,16340,b&b restaurant corp,"165 w 26th st, ,",10001,african,sid gold's request room,165 w 26th st,10001,american,0
16353,62,22347,seoul garden,"34 w 32nd st, 2nd fl,",10001,korean,space billard,34 w 32nd st,10001,korean,0
16490,63,6501,takumi taco,"601 w 26th st, 17th fl,",10001,mexican seafood asian fusion,martha stewart cafe,601 w 26th st,10001,cafã©/coffee/tea,0
17478,67,110,johny's luncheonette,"124 w 25th st, ,",10001,american (traditional) diners breakfast & brunch,perpetuum cafe,124 w 25th st,10001,cafã©/coffee/tea,0
17757,68,15091,a little taste,"148 w 28th st, ,",10001,cafes,alt - a little taste,148 w 28th st,10001,american,1
18569,74,23838,impero caffè,"132 w 27th st, ,",10001,italian,impero cafe,132 w 27th st,10001,italian,1
19861,78,23002,costas - south american arepas,"30 w 35th st,",10001,latin american,costas,30 w 35th st,10001,"latin (cuban, dominican, puerto rican, south & central american)",0
20355,80,16340,sid gold's request room,"165 w 26th st, ,",10001,cocktail bars desserts pizza,sid gold's request room,165 w 26th st,10001,american,1
20557,81,16106,paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese,krush,2 w 32nd st,10001,american,0
20593,81,10428,paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese,mandoo bar,2 w 32nd st,10001,korean,0
21840,85,14153,miss korea bbq,"10 w 32nd st, 1st, 2nd & 3rd fl,",10001,korean barbeque,miss korea barbecue ''sun'',10 w 32nd st,10001,korean,1
22197,86,16174,new wonjo restaurant,"23 w 32nd st, ,",10001,korean,stage 3,23 w 32nd st,10001,korean,0
23263,89,6397,shanghai mong,"30 w 32nd st,",10001,korean chinese asian fusion,shanghai mong,30 w 32nd st,10001,korean,1
23634,90,1905,gammeeok,"9 w 32nd st, 2nd fl,",10001,korean,5 senses,9 w 32nd st,10001,korean,0
23708,90,13617,gammeeok,"9 w 32nd st, 2nd fl,",10001,korean,gammeeok,9 w 32nd st,10001,korean,1
24131,92,6116,american whiskey,"247 w 30th st, ,",10001,american (new) cocktail bars sports bars,american whiskey,247 w 30th st,10001,american,1
25766,99,23584,the vine - eventi hotel,"851 avenue of the americas, ,",10001,american (new) bars,gregory's coffee,874 avenue of the americas,10001,cafã©/coffee/tea,0
25859,99,20498,the vine - eventi hotel,"851 avenue of the americas, ,",10001,american (new) bars,starbucks,776 avenue of the americas,10001,cafã©/coffee/tea,0
26427,101,12569,rock & reilly's nyc,"218 w 35th st, ,",10001,sports bars american (traditional) burgers,my belly's playlist,218 w 35th st,10001,american,0
26608,101,21509,rock & reilly's nyc,"218 w 35th st, ,",10001,sports bars american (traditional) burgers,rock and reillys lobby bar,218 w 35th st,10001,american,1
27756,105,611,the kunjip,"32 w 32nd st, ,",10001,korean,the kunjip,32 w 32nd st,10001,korean,0
27761,105,23896,the kunjip,"32 w 32nd st, ,",10001,korean,the maze,32 w 32nd st,10001,korean,0
28711,108,3854,sushi fussion nyc,"224 w 35th st, ,",10001,sushi bars asian fusion,sushi fussion,224 w 35th st,10001,jewish/kosher,1
32466,122,19256,pennsylvania 6 nyc,"132 w 31st st,",10001,american (new) breakfast & brunch seafood,dee daa,132 w 31st st,10001,thai,0
34115,128,4923,madison square tavern,"150 w 30th st, ,",10001,bars american (new),madison square tavern,150 w 30th st,10001,american,1
37700,143,14405,cloud 28,"127 w 28th st,",10001,lounges breakfast & brunch sandwiches,stix chelsea/hotel indigo/rooftop bar,127 w 28th st,10001,american,1
38586,146,17146,barilla restaurants,"108 w 32nd st, ,",10001,italian,barilla restaurants,108 w 32nd st,10001,italian,0
40757,155,1922,hanbat restaurant,"53 w 35th st, ,",10001,korean seafood,mew,53 w 35th st,10001,japanese,0
41768,161,7012,mcdonald's,"151 w 34th st, ,",10001,burgers fast food,"auntie anne's pretzels, pinkberry",151 w 34th st,10001,hotdogs/pretzels,0
41923,161,10729,mcdonald's,"151 w 34th st, ,",10001,burgers fast food,just salad,151 w 34th st,10001,salads,0
42030,161,20372,mcdonald's,"151 w 34th st, ,",10001,burgers fast food,pizza bar,151 w 34th st,10001,pizza,0
43697,170,20706,crompton ale house,"159 w 26th st,",10001,bars american (new),crompton ale house,159 w 26th st,10001,american,0
44105,171,1814,roll & katsu kitchen,"11 w 32nd st, ste 5,",10001,sushi bars korean japanese,food gallery 32,11 w 32nd st,10001,korean,0
44299,172,16175,la bella stella,"460 w 34th st, ,",10001,pizza,rocky's bar & restaurant,460 w 34th st,10001,pizza/italian,0
48320,186,12169,cafe r,"116 w 32nd st, ,",10001,food court american (new) breakfast & brunch,cafe r,116 w 32nd st,10001,american,1
48683,188,21101,blue dog cafe,"101 w 25th st, ,",10001,american (new) american (traditional),blue dog kitchen bar,101 w 25th st,10001,american,1
83991,305,3250,fools gold nyc,"145 e houston st, ,",10002,gastropubs pubs cocktail bars,fools gold,145 e houston st,10002,american,1
122281,429,23209,benemon,"108 e 4th st,",10003,japanese,benemon,108 e 4th st,10003,japanese,1
122633,430,2857,tsurutontan udon noodle brasserie,"21 e 16th st, ,",10003,japanese noodles soup,tsurutontan udon noodle brasserie,21 e 16th st,10003,japanese,1
123071,432,23913,raku,"342 e 6th st, ,",10003,japanese noodles,raku,342 e 6th st,10003,asian,1
123324,432,3932,raku,"342 e 6th st, ,",10003,japanese noodles,the eddy,342 e 6th st,10003,american,0
125934,438,1656,irvington,"the w hotel, 201 park ave s,",10003,american (new),irvington bar and restaurant/studio/lilium,201 park ave s,10003,american,0
125981,440,23913,the eddy,"342 e 6th st, ,",10003,american (new),raku,342 e 6th st,10003,asian,0
126234,440,3932,the eddy,"342 e 6th st, ,",10003,american (new),the eddy,342 e 6th st,10003,american,0
133555,456,376,izakaya,"326 e 6th st, ,",10003,izakaya tapas/small plates,the izakaya,326 e 6th st,10003,japanese,0
137565,464,16097,ootoya greenwich village,"41 e 11th st, ,",10003,japanese,ootoya,41 e 11th st,10003,japanese,1
140163,471,13712,misirizzi,"36 e 4th st,",10003,italian,misirizzi,36 e 4th st,10003,italian,1
140282,471,2942,misirizzi,"36 e 4th st,",10003,italian,ogawa cafe,36 e 4th st,10003,japanese,0
142056,476,2147,zundo-ya,"84 e 10th st, ,",10003,ramen,ramen zundo-ya,84 e 10th st,10003,japanese,1
152612,504,23926,tac n roll,"124 e 4th st,",10003,tacos fast food sandwiches,tac n roll,124 e 4th st,10003,chinese,1
153628,507,21709,sugarfish by sushi nozawa,33 e 20th st,10003,sushi bars,sugar fish,33 e 20th st,10003,japanese,1
161708,528,19126,le coq rico,"30 e 20th st,",10003,brasseries,le coq rico,30 e 20th st,10003,french,1
168937,546,20700,casa neta,"40 e 20th st,",10003,mexican lounges,tamu lola,40 e 20th st,10003,tapas,1
169750,548,6579,al vicoletto,"9 e 17th st, ,",10003,italian wine bars delis,al vicoletto,9 e 17th st,10003,italian,1
170238,549,15649,union square cafe,"101 e 19th st, ,",10003,american (new) cafes wine bars,union square cafe/ daily provisions,101 e 19th st,10003,american,1
171698,552,20406,new mizu sushi,"350 e 9th st,",10003,sushi bars japanese,new mizu sushi,350 e 9th st,10003,japanese,1
173285,555,4964,wok to walk,"42 union sq e, ,",10003,asian fusion fast food,wok to walk,42 union sq e,10003,thai,1
190884,602,4717,dalias,"214 e 9th st, ,",10003,spanish,dahlias fine mexican cuisine,214 e 9th st,10003,"latin (cuban, dominican, puerto rican, south & central american)",1
195112,616,17069,the immigrant,"341 e 9th st,",10003,wine bars,the immigrant tap room,341 e 9th st,10003,other,0
199147,627,9491,jp street,"52 e 8th st, ,",10003,japanese burgers chicken wings,jp street,52 e 8th st,10003,japanese,1
199242,629,21404,spice,"39 e 13th st, ,",10003,thai,spice,39 e 13th st,10003,thai,1
204495,642,16097,peacefood cafe downtown,"41 e 11th st, ,",10003,coffee & tea vegan gluten-free,ootoya,41 e 11th st,10003,japanese,0
208003,651,15801,le petit parisien,"32 e 7th st,",10003,sandwiches,east village thia restaurant,32 e 7th st,10003,thai,0
211326,658,12607,v spot,12 saint marks pl,10003,latin american vegan gluten-free,vspot organic,12 saint marks pl,10003,"latin (cuban, dominican, puerto rican, south & central american)",1
214793,666,15801,east village thai,"32 e 7th st, ,",10003,thai,east village thia restaurant,32 e 7th st,10003,thai,1
218817,713,14453,bavaria bier haus,"19 s william st,",10004,german beer gardens,bavaria bierhouse,19 s william st,10004,german,1
219532,723,22198,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,sabi sushi,1 new york plz,10004,other,0
219542,723,23519,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,starbucks,1 new york plz,10004,cafã©/coffee/tea,0
219569,723,3201,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,cappone's salumeria,1 new york plz,10004,sandwiches,0
219591,723,9210,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,naya express,1 new york plz,10004,mediterranean,0
219599,723,23372,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,schnippers,1 new york plz,10004,hamburgers,0
219600,723,7129,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,retro fitness,1 new york plz,10004,"juice, smoothies, fruit salads",0
219603,723,21483,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,chipotle mexican grill,1 new york plz,10004,mexican,0
231712,964,8074,cafe de novo,"94 1/2 greenwich st, ,",10006,korean pizza,cafe de novo,94 1/2 greenwich st,10006,american,0
239968,1127,17266,i&u cpa,"1 world trade ctr, fl 85,",10007,accountants tax services financial advising,one world observatory,1 world trade ctr,10007,american,0
240525,1134,6317,thursday kitchen,"424 e 9th st,",10009,korean american (new) tapas/small plates,thursday kitcehn,424 e 9th st,10009,asian,1
241014,1136,16600,root and bone,"200 e 3rd st, ,",10009,southern comfort food desserts,root & bone,200 e 3rd st,10009,american,1
241412,1139,2839,waka ramen & izakaya,432 e 13th st,10009,ramen,teshigotoya,432 e 13th st,10009,japanese,1
241665,1140,6348,carma east,"507 e 6th st,",10009,bars dim sum taiwanese,carma,507 e 6th st,10009,asian,1
242890,1146,22871,ruffian wine bar & chef's table,"125 e 7th st, ,",10009,wine bars tapas/small plates french,ruffian wine bar,125 e 7th st,10009,continental,1
243741,1150,22660,gnoccheria by luzzo's,"234 e 4th st, ,",10009,italian,secara,234 e 4th st,10009,spanish,0
243859,1150,9235,gnoccheria by luzzo's,"234 e 4th st, ,",10009,italian,gnoccheria by luzzo's,234 e 4th st,10009,italian,0
245623,1159,12088,raclette,"511 e 12th st, ,",10009,sandwiches french,la vraie raclette,511 e 12th st,10009,french,0
246089,1161,19306,secchu yokota,"199 e 3rd st, fl 1",10009,japanese desserts seafood,china wok,199 e 3rd st,10009,chinese,0
248078,1173,20207,tuome,"536 e 5th st, ,",10009,american (new),tuome,536 e 5th st,10009,asian,1
248463,1175,16701,ichibantei,"401 e 13th st, ,",10009,japanese steakhouses,ichibantei,401 e 13th st,10009,japanese,1
252463,1194,16933,stuyvesant organic,"536 e 14th st, ,",10009,organic stores salad caterers,stuyvesant organic,536 e 14th st,10009,american,1
253239,1199,23271,turntable 5060,235 e 4th st,10009,chicken wings korean american (new),nobody is perfect,235 e 4th st,10009,other,0
253330,1199,14076,turntable 5060,235 e 4th st,10009,chicken wings korean american (new),turntable 5060,235 e 4th st,10009,american,1
253713,1201,16664,banh mi zon,"443 e 6th st, ,",10009,vietnamese sandwiches salad,banh mi zon,443 e 6th st,10009,asian,1
254603,1205,20207,minca,"536 e 5th st,",10009,ramen,tuome,536 e 5th st,10009,asian,0
255241,1209,22360,the crooked tree,"110 saint marks pl, ,",10009,creperies cafes american (new),david's cafe,110 saint marks pl,10009,french,0
257208,1218,5999,superiority burger,"430 e 9th st, ,",10009,burgers vegetarian salad,superiority burger,430 e 9th st,10009,vegetarian,1
257499,1220,2299,gg's,"511 e 5th st, ,",10009,american (new) pizza,gg's,511 e 5th st,10009,american,1
258136,1223,4765,izakaya nomad,"13 w 26th st, ,",10010,gastropubs izakaya bars,izakaya nomad,13 w 26th st,10010,japanese,1
258485,1225,13753,sagaponack bar & grill,"4 w 22nd st,",10010,bars american (new) seafood,sagaponack,4 w 22nd st,10010,seafood,1
258813,1226,19098,upland,"345 park ave s, ,",10010,american (new),upland,345 park ave s,10010,american,1
258842,1227,11193,black barn,"19 e 26th st, ,",10010,american (new) breakfast & brunch,black barn,19 e 26th st,10010,american,1
262765,1248,3735,chop shop ii,"41 w 24th st,",10010,chinese thai asian fusion,chop shop kitchen,41 w 24th st,10010,asian,0
262947,1250,4838,grill 21,"346 e 21st st, ,",10010,filipino,grill 21,346 e 21st st,10010,filipino,1
264112,1256,23339,maui onion,"35 w 26th st,",10010,poke salad hawaiian,hanjan,35 w 26th st,10010,other,0
264168,1257,18271,oxido,"18 w 23rd st, ,",10010,mexican,oxido,18 w 23rd st,10010,mexican,1
265698,1265,17989,reviver,"303 park ave s,",10010,salad american (new) gluten-free,paris baguette,303 park ave s,10010,bakery,0
265754,1265,17340,reviver,"303 park ave s,",10010,salad american (new) gluten-free,fika,303 park ave s,10010,cafã©/coffee/tea,0
267785,1278,19529,little basil,"153 e 26th st, ,",10010,thai,little basil thai,153 e 26th st,10010,thai,1
268033,1280,3728,indikitch,"25 w 23rd st,",10010,indian,indikitch,25 w 23rd st,10010,indian,1
268376,1281,15489,shaka burrito,"210 e 23rd st, ,",10010,mexican hawaiian caribbean,shaka burrito,210 e 23rd st,10010,mexican,1
268834,1286,21938,limon restaurant,"238 e 24th st,",10010,turkish middle eastern mediterranean,limon restaurant,238 e 24th st,10010,turkish,1
269951,1293,9856,tacombi flatiron - cafe el presidente,"30 w 24th st, ,",10010,mexican,cafe el presidente,30 w 24th st,10010,mexican,1
270079,1296,16603,dig inn,"16 e 23rd st,",10010,american (new) juice bars & smoothies salad,dig inn,16 e 23rd st,10010,american,1
273641,1321,17503,burger & lobster,"39 w 19th st, ,",10011,seafood burgers,burger & lobster,39 w 19th st,10011,american,1
280062,1346,14948,serenata,"111 w 17th st,",10011,mexican,serenata,111 w 17th st,10011,mexican,0
280813,1348,22998,zia maria,"318 w 23rd st, ,",10011,italian pizza,zia maria,318 w 23rd st,10011,pizza/italian,1
280895,1349,19021,loring place,"21 w 8th st,",10011,american (new),loring place,21 w 8th st,10011,other,1
284029,1359,11724,auntie guan's kitchen 108,"108 w 14th st, ,",10011,chinese asian fusion,auntie guan's kitchen 108,108 w 14th st,10011,chinese,1
285358,1364,20077,il bambino,"48 w 8th st, ,",10011,italian sandwiches wine bars,il bambino,48 w 8th st,10011,american,0
286436,1369,8874,el cocotero,"228 w 18th st,",10011,venezuelan,el cocotero,228 w 18th st,10011,spanish,0
288513,1376,7483,the gander,"15 w 18th st, ,",10011,american (new),the gander bar room and restaurant,15 w 18th st,10011,american,1
291044,1385,7250,rasa,"25 w 8th st,",10011,malaysian sushi bars halal,rasa,25 w 8th st,10011,asian,0
302455,1422,3610,great burrito,"100 w 23rd st, ,",10011,pizza mexican,great burrito,100 w 23rd st,10011,mexican,1
303966,1427,2325,sushi para 88,"212 w 14th st, ,",10011,sushi bars japanese,sushi para 88,212 w 14th st,10011,japanese,1
305396,1431,17798,ushiwakamaru,"362 w 23rd st, ,",10011,japanese sushi bars salad,ushiwakamaru,362 w 23rd st,10011,japanese,1
307200,1440,2540,lena,"1 w 8th st, ,",10011,coffee & tea sandwiches,la panineria,1 w 8th st,10011,italian,0
307296,1440,22418,lena,"1 w 8th st, ,",10011,coffee & tea sandwiches,lena,1 w 8th st,10011,bakery,0
307878,1442,11540,el quijote,"226 w 23rd st, ,",10011,spanish basque,el quijote,226 w 23rd st,10011,spanish,1
308889,1447,18414,ancolie,"58 w 8th st,",10011,salad cafes desserts,ancolie,58 w 8th st,10011,salads,1
310107,1452,10098,la carbonara,"202 w 14th st, ,",10011,italian,la carbornara,202 w 14th st,10011,italian,1
312231,1464,17742,megu,355 w 16th st,10011,japanese,megu,355 w 16th st,10011,japanese,1
323223,1507,2540,la panineria,"1 w 8th st,",10011,italian sandwiches,la panineria,1 w 8th st,10011,italian,0
323319,1507,22418,la panineria,"1 w 8th st,",10011,italian sandwiches,lena,1 w 8th st,10011,bakery,0
328439,1526,21357,vic's,"31 great jones st, ,",10012,bars american (new) italian,vic's,31 great jones st,10012,american,1
331664,1539,21336,the folly,"92 w houston st, ,",10012,seafood gastropubs,the folly,92 w houston st,10012,american,1
339820,1573,10673,great jones cafe,"54 great jones st, ,",10012,cajun/creole,great jones cafe,54 great jones st,10012,american,0
345830,1596,3260,song e napule,"146 w houston st,",10012,pizza italian,song e napule,146 w houston st,10012,pizza/italian,1
353483,1628,5253,springbone kitchen,"90 w 3rd st,",10012,gluten-free fast food coffee & tea,springbone kitchen,90 w 3rd st,10012,american,1
357353,1642,13490,go zen,"144 w 4th st, ,",10012,vegan asian fusion kosher,go zen restaurant,144 w 4th st,10012,asian,1
357900,1645,23706,pokee,"121 w 3rd st,",10012,poke,dumplinggo,121 w 3rd st,10012,chinese/japanese,0
358038,1645,2756,pokee,"121 w 3rd st,",10012,poke,pokee,121 w 3rd st,10012,hawaiian,1
367322,1679,12668,sushi zo,"88 w 3rd st, ,",10012,japanese sushi bars,sushi zo,88 w 3rd st,10012,japanese,0
367916,1681,12668,swish cafe & shabu shabu,"88 w 3rd st,",10012,japanese,sushi zo,88 w 3rd st,10012,japanese,0
422133,1860,487,lupe's,110 ave of the americas,10013,mexican,lupe's east l.a. kitchen,110 avenue of the americas,10013,mexican,1
445308,1934,22497,the black derby,"310 w 4th st,",10014,american (new),the black derby,310 w 4th st,10014,other,1
446205,1938,13035,perla cafe,"234 w 4th st, ,",10014,italian wine bars,perla cafe,234 w 4th st,10014,american,0
452496,1967,713,wallflower,"235 w 12th st, ,",10014,american (new),wallflower,235 w 12th st,10014,french,1
469545,2037,18113,while we were young,"183 w 10th st,",10014,american (new) cocktail bars,while we were young,183 w 10th st,10014,other,1
470729,2041,18113,bar sardine,"183 w 10th st, ,",10014,american (new) cocktail bars,while we were young,183 w 10th st,10014,other,0
473469,2055,19885,otto's tacos,"131 7th ave s, ,",10014,mexican,otto's tacos,131 7th ave s,10014,mexican,1
474056,2057,19579,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,cocoa grinder,353 w 14th st,10014,salads,0
474122,2057,20213,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,mo il gelato,353 w 14th st,10014,"ice cream, gelato, yogurt, ices",0
474160,2057,7209,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,luzzos pizza,353 w 14th st,10014,italian,0
474286,2057,16824,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,burger inc,353 w 14th st,10014,american,0
474306,2057,3788,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,grape leaf new york,353 w 14th st,10014,middle eastern,0
474313,2057,21818,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,gotham poke,353 w 14th st,10014,hawaiian,0
483899,2096,9586,gallo nero 3,"1 7th ave s,",10014,italian venues & event spaces wine bars,gallo nero iii,1 7th ave s,10014,italian,1
498942,2160,2685,her name is han,"17 e 31st st, ,",10016,korean,her name is han,17 e 31st st,10016,korean,1
501058,2166,17517,sons of thunder,"204 e 38th st, ,",10016,hawaiian hot dogs poke,sons of thunder,204 e 38th st,10016,american,0
501486,2169,7508,massoni,"11 e 31st st,",10016,italian bars,massoni,11 e 31st st,10016,italian,1
505392,2181,7584,atoboy,"43 e 28th st,",10016,korean tapas/small plates asian fusion,atoboy,43 e 28th st,10016,asian,0
505625,2182,23588,pino wine bar,"156 e 33rd st, ,",10016,wine bars american (traditional),juice,156 e 33rd st,10016,"juice, smoothies, fruit salads",0
505715,2182,7329,pino wine bar,"156 e 33rd st, ,",10016,wine bars american (traditional),pino wine bar,156 e 33rd st,10016,american,0
506177,2183,12165,galata mediterranean cuisine,"212 e 34th st, ,",10016,turkish mediterranean halal,galata mediterranean cruisine,212 e 34th st,10016,turkish,1
506761,2185,15872,the shakespeare,"24 e 39th st, ,",10016,pubs british,the peacock/the shakespeare,24 e 39th st,10016,eastern european,0
507374,2187,12015,marta,"29 e 29th st, ,",10016,pizza italian,marta,29 e 29th st,10016,italian,1
511971,2205,13921,tacos grand central,"134 e 27th st,",10016,mexican,tacos grand central,134 e 27th st,10016,mexican,1
511995,2205,13976,tacos grand central,"134 e 27th st,",10016,mexican,burp bowl cafe,134 e 27th st,10016,asian,0
513283,2209,20613,between the bread eatery - bryant park,"20a e 40th st, ,",10016,cafes,between the bread,20a e 40th st,10016,american,0
514145,2214,21529,bedford,"118 e 40th st, ,",10016,american (new) desserts breakfast & brunch,bedford & co,118 e 40th st,10016,american,0
518990,2230,15383,fine & rare,"9 e 37th st,",10016,american (new) jazz & blues lounges,fine & rare,9 e 37th st,10016,other,0
521813,2244,6544,pippali,"129 e 27th st, ,",10016,indian bars,pippali,129 e 27th st,10016,indian,1
526895,2264,11892,open kitchen,"33 e 33rd st, ,",10016,salad sushi bars mediterranean,open kitchen,33 e 33rd st,10016,american,0
529245,2271,23490,tempura matsui,"222 e 39th st,",10016,japanese noodles seafood,tempura matsui,222 e 39th st,10016,japanese,1
529544,2274,21715,251 ginza sushi,"251 e 35th st, ,",10016,sushi bars japanese,ginza sushi,251 e 35th st,10016,japanese,1
530350,2278,21570,salvation taco,"145 e 39th st, ,",10016,mexican,salvation taco & roof top bar,145 e 39th st,10016,not listed/not applicable,0
532901,2286,3409,curry express,"130 e 29th st, ,",10016,indian pakistani,curry express,130 e 29th st,10016,indian,1
536729,2303,4624,alidoro,"18 e 39th st,",10016,sandwiches coffee & tea italian,alidoro,18 e 39th st,10016,italian,1
538236,2308,21862,asellina,"420 park ave s, ,",10016,italian breakfast & brunch cocktail bars,gansevoort park rooftop,420 park ave s,10016,american,0
544468,2335,18661,mazhi asian bistro & bar,"120 e 34th st, ,",10016,chinese japanese vietnamese,sugar box inc,120 e 34th st,10016,other,0
544487,2335,1512,mazhi asian bistro & bar,"120 e 34th st, ,",10016,chinese japanese vietnamese,dj pizza,120 e 34th st,10016,pizza,0
547607,2346,4036,udon west,"150 e 46th st, ,",10017,japanese noodles,udon west,150 e 46th st,10017,japanese,1
547879,2347,2723,vitae,"4 e 46th st, ,",10017,american (new) wine bars cocktail bars,vitae,4 e 46th st,10017,american,1
548441,2350,14285,foxy johns bar & kitchen,"143 e 47th st, ,",10017,bars american (new) venues & event spaces,foxy john's,143 e 47th st,10017,american,1
548611,2351,23559,allora ristorante,"145 e 47th st,",10017,italian bars,allora,145 e 47th st,10017,italian,1
549900,2358,7758,nishida sho-ten,"302 e 49th st, ,",10017,ramen,nishida sho-ten,302 e 49th st,10017,japanese,1
550630,2361,4230,gin parlour,"111 e 48th st,",10017,diners bars breakfast & brunch,intercontinental new york employee cafe,111 e 48th st,10017,american,1
551648,2365,15363,delicacy,"12 e 44th st, ,",10017,korean buffets american (traditional),delicacy,12 e 44th st,10017,delicatessen,1
551849,2366,13943,sakanaya,"304 e 49th st,",10017,sushi bars japanese seafood,sakanaya,304 e 49th st,10017,japanese,1
552209,2369,16060,great northern food hall,"grand central terminal, 89 e 42nd st",10017,food court bakeries delis,prova pizza bar,89 e 42nd st,10017,pizza/italian,0
552242,2369,10659,great northern food hall,"grand central terminal, 89 e 42nd st",10017,food court bakeries delis,the great northern deli and danish dogs,89 e 42nd st,10017,other,0
553519,2376,19061,mona kitchen & market,"310 e 44th st, ,",10017,coffee & tea delis juice bars & smoothies,mona kitchen & market,310 e 44th st,10017,american,0
