id,name,zip_code,phone,address
120,B & D Halal Restaurant,10001,2122687602,"163B W 29th St, ,"
121,The Cinnamon Snail at The Pennsy,10001,8622466431,"2 Penn Plz, ,"
122,Jack Doyle's Bar & Restaurant,10001,2122681255,"240 W 35th St, ,"
123,Pennsylvania 6 NYC,10001,2127273666,"132 W 31st St,"
124,Stout NYC,10001,2126296191,"133 W 33rd St, ,"
125,Hudson Station,10001,2122444406,"440 9th Ave, ,"
126,La Sonrisa Empanadas,10001,9179411064,", ,"
127,RARE Bar & Grill,10001,2128077273,"Hilton New York Fashion District, 152 W 26th St,"
128,Spinelli's Pizzeria,10001,2122390646,"425 7th Ave, ,"
129,Madison Square Tavern,10001,2122440410,"150 W 30th St, ,"
130,Shilla,10001,2129671880,"37 W 32nd St, ,"
131,Chop Shop,10001,2128200333,"254 10th Ave,"
132,Robert's Steakhouse,10001,2128684900,"536 W 28th St, ,"
133,Turntable Coffee & Music,10001,2125944344,"34 W 32nd St, Fl 5"
134,Pondicheri,10001,6468784375,"15 West 27th St,"
135,Antojito Mexicano,10001,6468513825,"6th Avenue & 28th Street, ,"
136,sweetgreen,10001,6464498884,"1164 Broadway, ,"
137,Bella Napoli,10001,2126754050,"257 7th Ave, ,"
138,Contorno's Restaurant,10001,2127600301,"30 W 31st St,"
139,Skylight Diner,10001,2122440395,"402 W 34th St, ,"
140,Statler Grill,10001,2127363353,"136 W 33rd St, ,"
141,The Harold,10001,2126861888,"1271 Broadway, ,"
142,Anesis Cafe,10001,2127149720,"42 W 35th St Frnt 1, ,"
143,Poppy's Terminal Restaurant,10001,2126956935,"329 10th Ave, ,"
144,Cloud 28,10001,6464844338,"127 W 28th St,"
147,Barilla Restaurants,10001,6468477171,"108 W 32nd St, ,"
148,Company,10001,2122431105,"230 9th Ave, ,"
150,Turntable Coffee & Music,10001,2125944344,"34 W 32nd St, Fl 5"
151,Bombay Sandwich Co,10001,6467819756,"48 W 27th St, ,"
152,Uncle Nicks Greek Cuisine,10001,2126090500,"382 8th Ave, ,"
153,HanaMichi,10001,2127365393,"28 W 32nd St, ,"
154,McDonald's,10001,2122793415,"429 7th Ave, ,"
156,Hanbat Restaurant,10001,2126295588,"53 W 35th St, ,"
157,Entree,10001,2126956655,"240 W 35th St, Ste B,"
158,Niles Restaurant,10001,2126290210,"371 7th Ave, ,"
159,Chandni Restaurant,10001,2126864456,"13 W 29th St, ,"
160,Gardenia Deli,10001,2127365617,"404 8th Ave, ,"
161,Frying Pan,10001,2129896363,"Pier 66 Maritime, ,"
162,McDonald's,10001,2125941964,"151 W 34th St, ,"
163,Savory and Sweet,10001,2129675795,"398 10th Ave, ,"
164,No. 7 Sub,10001,2125321680,"1188 Broadway, ,"
165,Roastown Coffee,10001,2122908015,"267 W 34th St, ,"
166,Songkran,10001,2122398792,"330 8th Ave,"
167,Swagat Indian Restaurant,10001,2129677373,"205 W 29th St, ,"
168,Bombay Sandwich,10001,6468017448,"27 N 6th Ave, ,"
169,Bottino Take-Out,10001,2122066766,"246 10th Ave, ,"
170,Little Italy Pizza,10001,2126439933,"401 7th Ave, ,"
171,Crompton Ale House,10001,2126580089,"159 W 26th St,"
172,Roll & Katsu Kitchen,10001,6466205992,"11 W 32nd St, Ste 5,"
173,La Bella Stella,10001,2126439797,"460 W 34th St, ,"
174,Panda Express,10001,9176393302,"414 Eighth Ave,"
175,230 Fifth Rooftop Bar,10001,2127254300,"230 Fifth Ave,"
177,By Suzette,10001,6467264374,"494 8th Ave, ,"
178,Uncle Jack's Steakhouse - Westside,10001,2122440005,"440 9th Ave, ,"
179,Lasani Restaurant,10001,2126833737,15 W 29th St
180,Gruppo Ristoratori Italiani,10001,2122622128,"322 8th Ave Ste 1701, ,"
181,Porchlight,10001,2129816188,"271 11th Ave, ,"
182,Ace Hotel New York,10001,2126792222,"20 W 29th St, ,"
183,Ajisen Ramen,10001,6466380888,"136 W 28th St,"
184,Bottino,10001,2122066766,"246 10th Ave, ,"
185,Teremok,10001,9174727322,"358 7th Ave,"
186,Tick Tock Diner,10001,2122688444,"481 8th Ave, ,"
187,Cafe R,10001,2126959550,"116 W 32nd St, ,"
188,Son Ja Jang,10001,2127360029,"34 W 32nd St,"
189,Blue Dog Cafe,10001,2122299222,"101 W 25th St, ,"
190,Excuse My French,10002,2127809600,"96 Orchard St, ,"
191,Simple,10002,6468708292,"109 Eldridge St, ,"
192,The Boil,10002,2129258815,"139 Chrystie St,"
193,The Whales,10002,6468821305,"71 Clinton St, ,"
194,Rabbit House,10002,2123434200,"76 Forsyth St,"
195,Sweet Chick,10002,6466570233,"178 Ludlow St, ,"
196,La  Contenta,10002,2124324180,"102 Norfolk St, ,"
197,Freemans,10002,2124200012,"Freeman Aly, ,"
198,L.E.S kitchen,10002,6469522313,"15 Essex St, ,"
199,Bing Kitchen,10002,2122262710,"71 Orchard St,"
201,Pig and Khao,10002,2129204485,"68 Clinton St, ,"
202,Lao Di Fang,10002,2129417678,"28 Forsyth St, ,"
203,The Stanton Social,10002,2129950099,"99 Stanton St, ,"
204,Gohan,10002,6465901311,14A Orchard St
205,Lam Zhou Handmade Noodle,10002,2125666933,"144 E Broadway, ,"
206,Verlaine,10002,2126142494,"110 Rivington St, ,"
207,The Burgary,10002,2125296900,"67 Clinton St, ,"
208,The Bao Shoppe,10002,6467564181,"34 Canal St,"
209,Jasmine's,10002,6469983184,"302 Broome St,"
210,Spaghetti Incident,10002,6468961446,"231 Eldridge St, ,"
211,Katz's Delicatessen,10002,2122542246,"205 E Houston St, ,"
212,CAFÉ MEDI,10002,2127968040,107 Rivington St
213,Les Enfants de Boheme,10002,6464764843,"177 Henry St, ,"
214,Clinton Street Baking Company,10002,6466026263,"4 Clinton St, ,"
215,Wah Fung No 1,10002,2129255175,"79 Chrystie St, ,"
216,Benson's NYC,10002,6467915765,"181 Essex St,"
217,Vanessa's Dumpling House,10002,2126258008,"118A Eldridge St, ,"
218,Set L.E.S,10002,2129828225,"127 Ludlow St, ,"
219,Pickle Guys,10002,2126569739,"357 Grand St, ,"
221,Taverna Di Bacco,10002,2124770077,"175 Ludlow St, ,"
222,Cheeky Sandwiches,10002,6465048132,"35 Orchard St, ,"
223,Delilah,10002,2127772520,"155 Rivington St,"
224,Kopitiam,10002,6468947081,"51B Canal St, ,"
225,21 Shanghai House,10002,2122268998,"21 Division St, ,"
226,Dirty French,10002,2122543000,"Ludlow Hotel, 180 Ludlow St,"
227,Beauty & Essex,10002,2126140146,146 Essex St
228,Dudleys,10002,2129257355,"85 Orchard St,"
230,Gentleman Farmer,10002,2126772172,"40 Rivington St,"
231,Nakamura,10002,2126141810,"172 Delancey St., ,"
232,The Meatball Shop,10002,2129828895,"84 Stanton St, ,"
233,Doka Square,10002,6469187919,"53 Delancey St, ,"
234,Moemen,10002,6469186877,"201 Allen St, ,"
235,The MasalaWala,10002,2123589300,"179 Essex St, ,"
237,Barrio Chino,10002,2122286710,"253 Broome St,"
238,Wassail,10002,6469186835,"162 Orchard St, ,"
239,Osaka Grub,10002,9292667252,"120 Essex St, ,"
240,Cocoron,10002,2129255220,"61 Delancey St, ,"
241,The Lucky Bee,10002,8443644286,"252 Broome St, ,"
242,Gaia Italian Café,10002,6463503977,"251 E Houston St, ,"
243,Mezetto,10002,2129334587,"161 E Houston St, ,"
244,Speedy Romeo,10002,2125296300,"63 Clinton St, ,"
245,Eastwood,10002,2122330124,"221 E Broadway, ,"
246,Russ & Daughters Cafe,10002,2124754881,"127 Orchard St, ,"
247,The Metrograph Commissary,10002,2126600312,"7 Ludlow St,"
248,Russ & Daughters,10002,2124754880,"179 E Houston St, ,"
249,Claw Daddy's,10002,6465906816,"185 Orchard St, ,"
250,Yopparai,10002,2127777253,"151 Rivington St, 1st Fl,"
251,Baby Brasa,10002,6469985316,"129 Allen St,"
252,Empanada Mama L.E.S,10002,2126730300,"95 Allen St,"
253,Contra,10002,2124664633,"138 Orchard St, ,"
254,goa taco,10002,3472765103,"79 Delancey St,"
255,Balvanera,10002,2125333348,"152 Stanton St, ,"
256,Le French Diner,10002,2127771577,"188 Orchard St, ,"
257,Libation,10002,2125292153,"137 Ludlow St, ,"
258,Cafe Katja,10002,2122199545,"79 Orchard St, ,"
259,Mazeish Grill,10002,6469645912,"137 Rivington St, ,"
260,Shu Jiao Fu Zhou Cuisine Restaurant,10002,2126252532,118 Eldridge St
261,Kottu House,10002,6467819222,"250 Broome St, ,"
262,Red Compass,10002,2124739100,"154 Orchard St, ,"
263,99 Favor Taste,10002,6466829122,"285 Grand St, ,"
264,Cheese Grille,10002,2124609383,"188 Allen St, ,"
265,Wildair,10002,6469645624,"142 Orchard St, ,"
266,Kiki's,10002,6468827052,"130 Division St, ,"
267,Taste of Northern China,10002,9173028831,"88 E Broadway, Suite 106,"
268,Chloe81 Blue,10002,2126770067,"81 Ludlow St,"
269,Clancey,10002,9173883575,"79 Clinton St,"
270,Big Hing Wong,10002,2129251662,"300 Grand St, ,"
272,Zest,10002,2126773158,"249 Broome St, ,"
273,Sammy's Roumanian Steakhouse,10002,2126730330,"157 Chrystie St, ,"
274,Vandal,10002,2124000199,"199 Bowery, ,"
275,Shopsin's,10002,9179074506,"Essex St Market, 120 Essex St,"
276,Black Crescent,10002,2124771771,"76 Clinton St, ,"
277,Bar Goto,10002,2124754411,"245 Eldridge St, ,"
278,El Luchador Taqueria,10002,6466783468,"132 Ludlow St, ,"
279,Mission Chinese,10002,2124320311,"171 E Broadway, ,"
280,Patacon Pisao,10002,6466785913,"139 Essex St, ,"
281,Fung Tu,10002,2122198785,"22 Orchard St, ,"
282,Louie and Chan,10002,2128372816,"303 Broome St, ,"
283,Hill and Dale,10002,2124201115,"115 Allen St, ,"
284,Round K,10002,9174751423,"99 Allen St,"
285,Yaya Tea Garden,10002,2122268803,"51 Chrystie St, ,"
286,Super Taste,10002,6462830999,"26 Eldridge St,"
287,The Ten Bells,10002,2122284450,"247 Broome St, ,"
288,Azasu,10002,2127777069,"49 Clinton St, ,"
289,Spicy Village,10002,2126258299,"68 Forsyth St, Ste B,"
290,Spreadhouse Cafe,10002,6465246353,"116 Suffolk St, ,"
291,Forgtmenot,10002,6467073195,"138 Division St, ,"
292,King's Kitchen,10002,2129667288,"92 E Broadway, ,"
293,Shui Mei Cafe,10002,2127912819,"67 E Broadway, ,"
294,Wolfnights,10002,6466698070,"99 Rivington St,"
295,La Gamelle,10002,2123880052,"241 Bowery, ,"
296,Bacaro,10002,2129415060,"136 Division St, ,"
297,Tre,10002,2123533353,"173 Ludlow St, ,"
298,Lucky Plaza Restaurant,10002,2122198868,"81 Chrystie St, ,"
299,Ni Japanese Delicacies,10002,6466754324,"120 Essex St, ,"
300,Charrua,10002,2126775838,"131 Essex St,"
301,The John Lamb,10002,2123924244,"120 Allen St, 119 Orchard St,"
302,Soy,10002,2122531158,"102 Suffolk St, ,"
303,Pho Vietnam 87,10002,2127750999,"87 Chrystie St, ,"
304,SakaMai,10002,6465900684,"157 Ludlow St, ,"
305,Gen Ramen House,10002,2129669696,"112 eldridge st,"
306,Fools Gold NYC,10002,2126732337,"145 E Houston St, ,"
307,La Margarita Pizza,10002,2122281233,"151 Ludlow St, ,"
308,Ninja Sushi NYC,10002,6463681702,"109 Madison St,"
309,One Mile House,10002,6465590702,"10 Delancey St, ,"
310,Sel Rrose,10002,2122262510,"1 Delancey St, ,"
311,Souvlaki GR,10002,2127770116,"116 Stanton St, ,"
313,Rizzo's Fine Pizza,10002,6464541262,"17 Clinton St, ,"
314,Farmhouse Restaurant,10002,2126779383,"81 Ludlow St, ,"
315,Kam Boat Bakery & Cafe,10002,2122741822,"111 Bowery St, ,"
316,Le Turtle,10002,6469187189,"177 Chrystie St, ,"
317,Bite of Hong Kong 泰仁軒,10002,2122198868,"81 Chrystie St, ,"
318,Jadis,10002,2122541675,"42 Rivington St, ,"
319,Pala,10002,2126147252,"198 Allen St,"
320,Koneko,10002,6463705699,"26 Clinton St, ,"
321,CC's Cafe,10002,2125711060,"41 Monroe St, ,"
322,Dimes,10002,2129251300,"49 Canal St, ,"
323,Nordic Preserves Fish and Wildlife Company,10002,6464504544,"120 Essex St, ,"
324,Ling Kee Beef Jerky,10002,2129651206,"42 Canal St, ,"
325,Congee Bowery,10002,2127662828,"207 Bowery, ,"
327,Blue Ribbon Sushi Izakaya,10002,2124660404,"187 Orchard St, ,"
328,Rochelles,10002,2126732400,"205 Chrystie St, ,"
329,Cup & Saucer,10002,2129253298,"89 Canal St, ,"
330,Wu's Wonton King,10002,2124771111,"165 E Broadway, ,"
331,Lee Chung Cafe,10002,2122335142,"82 Madison St, ,"
332,Dirt Candy,10002,2122287732,"86 Allen St, ,"
333,Hotel Chantelle,10002,2122549100,"92 Ludlow St, ,"
334,Tiny's Giant Sandwich Shop,10002,2122284919,"129 Rivington St, ,"
335,Congee Village,10002,2129411818,"100 Allen St, ,"
336,Wong Wah Bakery House,10002,2123438077,"83 Canal St, ,"
337,An Choi,10002,2122263700,"85 Orchard St, ,"
338,Kong Kee,10002,7189372746,"212 Grand St, ,"
339,Little Canal,10002,9174727479,"26 Canal St,"
340,El Rey Coffee And Luncheonette,10002,2122603950,"100 Stanton, ,"
341,Les Crêpes & Taqueria,10002,9179241484,"25A Essex St, ,"
342,China North Dumpling,10002,2125292700,"27 Essex St, Ste A,"
343,Scarr's Pizza,10002,2123343481,"22 Orchard St, ,"
344,Cheesesteak Factory,10002,2123750700,"191 E Houston St,"
345,Formosa Cafe,10002,7188643018,34 Eldridge St
346,Yonah Schimmel's Knish Bakery,10002,2124772858,"137 E Houston St, ,"
347,Pause Cafe,10002,2126775415,"3 Clinton St, ,"
348,Carol's Bun,10002,2125660203,"139 E Broadway, ,"
349,LoHo Gourmet Deli,10002,2126194900,"204 Clinton St, ,"
350,99 Cents Fresh Slice Pizza,10002,2123350803,"105 Stanton St, ,"
351,Petee's Pie Company,10002,2129662526,"61 Delancey St, ,"
352,Cata Restaurant,10002,2125052282,"245 Bowery, ,"
353,Golden Unicorn,10002,2129410911,"18 E Broadway, ,"
354,Arancini Bros,10002,7184046924,"120 Essex St, ,"
355,Clinton Square Pizza,10002,6466784294,"201 Clinton St, ,"
356,JES Coffee,10002,6464623398,"47 Market St, ,"
357,Tu DO Restaurant Corporation,10002,2129662666,"119 Bowery, ,"
358,Black Cat LES,10002,6469187711,"172 Rivington St, ,"
359,Sons of Essex,10002,2126747100,"133 Essex St, ,"
360,Essex Taqueria,10002,2122608226,"123 Essex St, ,"
361,Macondo East,10002,2124739900,"157 E Houston St, ,"
362,Ying Qian Fuzhou Restaurant,10002,2122199933,"68 Forsyth Street, ,"
363,Peasant Stock,10002,9176019776,"120 Essex St, ,"
364,Cong Ly Restaurant,10002,2123431111,"124 Hester St, ,"
365,Casa Mezcal,10002,2127772661,"86 Orchard St, ,"
366,New Wong Rest,10002,6468789474,"103 E Broadway, ,"
367,Sticky Rice,10002,2122748208,"85 Orchard St, ,"
369,Hua Xia,10002,2129651926,"49 Division St, ,"
371,BistroShopp,10002,6468330848,"124 Ridge St, ,"
372,Williamsburg Pizza,10002,2122264455,"277 Broome St, ,"
373,S Wan Cafe,10002,2129668269,85 Eldridge St Lower E
374,Schiller's Liquor Bar,10002,2122604555,"131 Rivington St,"
375,Iguazu Cafe & Grill,10002,6466570922,"26 Jefferson St, ,"
376,Hok Zhou Restaurant,10002,2127663313,"93 E Broadway, ,"
377,Khushboo Indian Restaurant,10002,2125332828,"6 Clinton St, ,"
378,Creperie,10002,2129795521,"135 Ludlow St, ,"
379,One More Thai,10002,2122288858,"6 Clinton St,"
380,Cafe Petisco,10002,2123870366,"189 E Broadway, ,"
381,The Fat Radish,10002,2123004053,"17 Orchard St, ,"
382,Ivan Ramen,10002,6466783859,"25 Clinton St, ,"
383,La Caverna,10002,2124752126,"122-124 Rivington St, ,"
384,Fuleen Seafood Restaurant,10002,2129416888,"11 Division St, ,"
385,Nonna's LES Pizzeria,10002,2124772708,"105 Clinton St, ,"
386,Mee Cafe,10002,6469960029,"26 Rutgers St, ,"
387,Zafis Luncheonette,10002,2125332415,"500 Grand St, ,"
388,Rawsome Treats,10002,6462865162,"212 E Broadway, ,"
389,Happy Express Cafe,10002,2129659898,"6 Allen St, ,"
390,Birds & Bubbles,10002,6463689240,"100B Forsyth St,"
391,Puebla,10002,2124736643,"120 Essex St, ,"
392,Whole Foods Market,10002,2124201320,"95 E Houston St, ,"
393,Nam Son Vietnamese Restaurant,10002,2129666507,"245 Grand St, ,"
394,Taco Recipes,10002,2123531886,"23 Essex St, ,"
395,Kang Kee,10002,2129662876,"124 Hester St, ,"
396,Loreley Beer Garden,10002,2122537077,"7 Rivington St,"
397,Essex,10002,2125339616,"120 Essex St, ,"
398,Sauce,10002,2124207700,"78 Rivington St, ,"
400,El Castillo De Jagua 2,10002,2129950244,"521 Grand St, ,"
402,New Ah Ping Snacketeria,10002,2129666688,"45 Division Street, ,"
403,Galeria,10002,9176756887,"43 Clinton St,"
404,Hou Yi Hot Pot,10002,2129663420,"92 Hester St, ,"
406,Golden Forest,10002,2125059513,"353 Grand St, ,"
407,AK US Group,10002,2123343535,"95 Chrystie St, ,"
408,Saluggi's,10002,6468961163,"399 Grand St,"
409,Sheng Wang,10002,2129250805,"27 Eldridge St, ,"
410,Spitzer's Corner,10002,2122280027,"101 Rivington St, ,"
411,A-1 Pizza Shop,10002,2125330214,"505 Grand St, ,"
412,M Star Cafe,10002,2129668988,"19 Division St,"
413,Mr. Taka Ramen,10002,2122541508,"170 Allen St, ,"
414,Hana Japanese Cuisine,10002,2123889688,"111 Rivington St, ,"
415,Cheung Wong Kitchen,10002,2123432373,"38 Allen St, ,"
416,La Flaca,10002,6466929259,"384 Grand St, ,"
417,Upstate,10003,9174083395,"95 1st Ave, ,"
418,Tim Ho Wan,10003,2122282800,"85 4th Ave,"
419,Thai Villa,10003,2128029999,"5 E 19th St, G Floor,"
420,The PokéSpot,10003,2129330971,"120 4th Ave,"
421,Il Cantinori,10003,2126736044,"32 E 10th St, ,"
422,Love Mamak,10003,2122542868,"174 2nd Ave, ,"
423,Ichabod's,10003,2127775102,"15 Irving Pl,"
424,Gramercy Tavern,10003,2124770777,"42 E 20th St, ,"
425,Midwinter Kitchen,10003,2125058500,"327 2nd Ave,"
426,Taboonette,10003,2125107881,"30 E 13th St, ,"
427,Kotobuki Manhattan,10003,2123535088,"56 3rd Ave,"
428,Ippudo East Village,10003,2123880088,"65 4th Ave, ,"
429,White Oak Tavern,10003,2122602604,"21 Waverly Pl, ,"
430,Benemon,10003,2126143006,"108 E 4th St,"
431,Tsurutontan Udon Noodle Brasserie,10003,2129891000,"21 E 16th St, ,"
432,The Boil,10003,6468337110,"17 Waverly Pl, ,"
433,Raku,10003,2122281324,"342 E 6th St, ,"
434,Ayios Greek Rotisserie,10003,2125053601,"2 Saint Marks Pl,"
435,Barn Joo,10003,6463989663,"35 Union Square W,"
436,ABC Kitchen,10003,2124755829,"35 E 18th St, ,"
437,Momofuku Ko,10003,2125000831,"8 Extra Pl, ,"
438,The Cellar,10003,2124663340,"900 Broadway, ,"
439,Irvington,10003,2126770425,"The W Hotel, 201 Park Ave S,"
440,Momofuku Ssam Bar,10003,2122543500,"207 2nd Ave,"
441,The Eddy,10003,6468959884,"342 E 6th St, ,"
442,CAVA,10003,6464166440,"143 4th Ave,"
443,Follia NYC,10003,2124774100,"179 3rd Ave,"
444,Gramercy Farmer & The Fish,10003,6469985991,"245 Park Ave S,"
445,Milon,10003,2122284896,"93 1st Ave, ,"
446,The Bao,10003,2123889238,"13 St Marks Pl, ,"
447,Soba-ya,10003,2125336966,"229 E 9th St, ,"
448,Gotham Bar and Grill,10003,2126204020,"12 E 12th St, ,"
449,Biang!,10003,2127862068,"157 2nd Ave, ,"
450,La Contrada,10003,2126581948,"67 2nd Ave Cross 4th St,"
451,Blue Water Grill,10003,2126759500,"31 Union Sq W, ,"
452,Bowllin',10003,2126732727,"27 Waverly Pl, ,"
