Title,Summary
"Grand Tier Restaurant","Umberto Montano exported the modern Florentine menu of his restaurant, Alle Murate, which is in a 14th-century frescoed palace in Florence, Italy. Jeff Raider is his executive chef."
"Polish G. I. Delicatessen","Kielbasa, smoked whitefish and locally baked breads are just the start of what Polish G.I. Delicatessen offers in a small East Village storefront."
"The Chocolate Room","An amuse-bouche is the first of many thoughtful touches at this dessert bar."
"King of Falafel & Shawarma","For 14 years, Fares Zeideia, known as Freddy, plied a street cart on the corner of Broadway and 30th Street in Astoria, Queens, and at his first bricks-and-mortar restaurant, the falafel and shawarma are as great as they ever were, served in a dining room decorated in bright red and green, to keep the atmosphere “not too official.”"
"BZ Grill","BZ Grill, a Greek frill with a Cypriot flair, is a no-frills place in Astoria that gets it right."
"Sparks Steak House","Mostly men come for big steaks, bigger lobsters and, of course, the incredible wine list."
"Sahara","A Turkish oasis of refreshing, simply prepared in Gravesend."
"Bill's Bar and Burger","Bill's, in the meatpacking district, serves a deeply uninteresting burger."
"Maysville","Maysville’s chef, Kyle Knall, and owner, Sean Josephs, have built a restaurant that feels thoroughly American."
"The Breslin Bar and Dining Room","It's Hogwarts for hipsters at this iteration of British gastrocool from the chef April Bloomfield and restaurateur Ken Friedman."
"La Esquina","With its air of exclusivity and mystery and its Mexican menu, La Esquina is sort of like Studio 54 with chipotle subbing for cocaine."
"Ducks Eatery","Exciting things are happening at Ducks Eatery, where a bayou smokehouse meets a backpacker pipe dream."
"Hallo Berlin","For inexpensive German specialties, it's hard to do better than Hallo Berlin."
"Daniel","Daniel serves exquisitely sensitive, profoundly seasonal, fundamentally French cooking."
"A Voce Columbus","Missy Robbins's rustic Italian food is edible art, but it might be better than its stage."
"Sushi Yasuda","Sushi Yasuda sets the standard in New York for the pure expression of sushi culture."
"Motorboat & the Big Banana","A fry shack that's a collaboration between Jean Adamson (of Vinegar Hill House) and Lindsay Robinson (formerly of Diner)."
"Inside Park at St. Bart's","The church has had a successful seasonal restaurant on its terrace for several years, and now the great hall of its community house, with its Byzantine decorative elements restored, has been transformed into a year-round venue."
"ChikaLicious","Serving desserts only."
"Five Guys Famous Burgers and Fries","It takes more than free peanuts, a ho-hum patty and a cavalcade of condiments to make a name for yourself on the burger scene in New York."
"Kyochon","The flamboyant New York flagship of the Korean fried chicken chain."
"Kori","A Korean restaurant that succeeds in merging East and West, old and new."
"Campo de' Fiori","Italian food that’s plainspoken and appealingly rough around the edges."
"Lure Fishbar","Lure Fishbar wants to add to the crudo craze but it adds too much too weirdly and too often."
"Cómodo","Cómodo is almost a cliché of a romantic restaurant: white curtains wafting out into the half-deserted street, light catching on stemless wine glasses, a blur of candles against dark wood."
"Hao Noodle and Tea by Madam Zhu’s Kitchen","An energetic entrepreneur named Zhu Rong, who owns restaurants in four cities around China, recently expanded her territory to Greenwich Village."
"Junior's","Junior's may not be a good place to eat, but it is something great: a window into the Brooklyn of memory and the Brooklyn of now."
"Birreria","An all-day, year-round rooftop beer garden set above the tempting bustle of Eataly, and run by the same Batali-Bastianich team."
"Bahía","Corn may no longer serve the spiritual role it once did, but it is still the keystone of the Central American culinary universe, as is clear if you visit a Salvadoran restaurant like Bahía  in Williamsburg, Brooklyn."
"Prime & Beyond","A sleek, modern spot offering bargains in prime-grade steak, served with simple Korean-style sides."
"Dévi","Bewitching Devi's take on Indian food is varied, multidimensional, nimble and surprising."
"Bolivian Llama Party","This stand run by three brothers with roots in Cochabamba, Bolivia, specializes in salteñas, which must not be mistaken for empanadas. The dough is sweet and thick, as chewy as an underbaked cookie, and it is filled with a soupy stew, cooked for days and lush with broken-down cow’s foot, that threatens to gush at first bite."
"Agnanti","Agnanti in Bay Ridge, a branch of an Astoria restaurant, offers a welcome take on Greek cuisine: embrace the archipelago."
"Uncle Zhou","Uncle Zhou serves homey food from Henan province, where wheat noodles are the foundation of many meals."
"Wall & Water","A handsome, sprawl of a room above the lobby of the Andaz Hotel, Wall & Water serves mostly first-rate food."
"BK Jani","Sibte Hassan, the chef and owner of this Pakistani barbecue spot, is a Midas of meat, which he serves at picnic tables on paper plates with no utensils, in homage to the street food of his childhood in Lahore."
"Agern","Agern feels like a quiet harbor away from the eddies and currents of Grand Central Terminal. In the modern Scandinavian dining room, pale wood, charcoal seat cushions and wall tiles in mossy Grand Central green create a calming mood. Buying food raised around New York, Agern treats the city as another Scandinavian capital: Oslo-on-Hudson."
"Heartbeat","Sophisticated spa food in a slick setting."
"Bohemian Spirit","At this Czech restaurant on the ground floor of the 120-year-old Bohemian National Hall, the mission is nostalgic nourishment -- this means beer-hall food served by no-nonsense waitresses in a lofty room."
"Le Coq Rico","A branch of a Parisian “bistro for beautiful birds” founded by the chef Antoine Westermann, Le Coq Rico is the perfect place to take people who believe they can make a better roast chicken at home."
"The Lion","John DeLucie, the chef and an owner of the scene-y Lion, cooks simple, clublike food, generally better than it needs to be."
"Sweetwater","Tom Kearney, the chef at this Williamsburg spot, prepares food that is one part pub grub, three parts Left Bank bistro. [Note: Mr. Kearney has left Sweetwater; the new chef is Paul G. Williams.]"
"Benchmark Restaurant","Salvation came to Park Slope carnivores with the opening of this pretty, garden-fronted chophouse."
"Le Perigord","It's a French restaurant the way French restaurants used to be, the way no one makes them anymore."
"Ode to the Elephants","Ode to the Elephant describes its fare as “beach Thai food,” which pretty much sums it up: green papaya salad, grilled chicken with curry rice and sweet milky tea you can take to the beach."
"Megu","If Megu reined itself in, it might be one of the most thrilling dining experiences in New York."
"Po","A tiny Italian restaurant with an emphasis on fresh, local ingredients cooked with imagination."
"Doughnut Plant","A plusher chocolate doughnut than Mark Isreal's Valrhona would be hard to find."
"Agave","In the hands of the chefs at Agave, New Southwestern becomes an impetuous, slightly mad adventure."
"Divine Flavored Nigerian Food Truck","Godshelter Oluwalogbon, the chef behind this Nigerian food truck with bright green hubcaps and a beach scene on its flank, was born in Ghana, his mother’s homeland, and raised in Nigeria, his father’s. On weekdays, he parks in front of the Nigerian Consulate, offering the likes of gizdodo, chicken gizzards folded with caramelized plantains; asun, dark, smoky goat meat sifted with pulverized Scotch bonnets; and ayamase, a chunky stew loaded with beef, tripe and flagrantly rubbery curls of cow skin."
"Dotory","Dotory is a tiny, mostly serene bastion of quiet eccentricity under the J, M and Z tracks in East Williamsburg, Brooklyn."
"Old Tbilisi Garden","Old Tbilisi Garden offers subtle pleasures of Georgian food, dishes suffused with summer savory, coriander, marigold and blue fenugreek. And it has adjaruli khachapuri, a thick flatbread with the ends tapered into blunt handles and the middle a cauldron of near-volcanic cheese, with a yolk slowly setting on top."
"Reynard","Nearly everything that comes out of Reynard’s kitchen is chosen by hand and cooked with firewood."
"Ali Baba","Ali Baba is a trove of Turkish street snacks centering on freshly baked Turkish breads."
"Edi & the Wolf","Comfort food from Austria given a sophisticated spin from the same team behind Seäsonal."
"Trattoria L'Incontro","At a time when many chefs solicit appreciation for their fashionable creativity, Trattoria L'Incontro in Astoria is a throwback."
"Amarone","The rectangular dining room at this friendly restaurant is bright and happy, suffused with the appetizing aromas of bread, herbs and olive oil."
"Spike Hill","Spike Hill is among a handful of restaurants in Williamsburg offering solid, well-priced food."
"Prime Meats","Part of the Frankies empire, this good, very beautiful Germanish restaurant in Carroll Gardens, Brooklyn, has magnetic esthetics: Dutch paint, rubbed wood, old mirrors, brick, warm light out of the past"
"Distilled","The mission statement that preceded a meal (“We are an American public house”) was slightly coy about the restaurant’s ambitions. There are wings, onion rings and ribs, but they are elevated by unexpected spices and technical flourishes."
"Betto","Jason Denton's Willamsburg venture features bruschette, similar to but softer than his signature crostini, along with pastas and seafood."
"Mari Vanna","Vodka may be the best thing about this Russian restaurant, a vision of Soviet-era hospitality. But it is not the only thing."
"Angkor Cambodian Bistro","Low lights and dark wood, paintings of temples half-eaten by jungle, the interior gaze of a long-lobed Buddha head: Angkor is handsome and hushed, far from the brimming-over refugee camp in Thailand where Minh Truong, the chef, first learned to cook. His dishes are gently spiced, many harking back to the Thai restaurant he ran in Chelsea for two decades; the best draw from his mother’s Cambodian recipes."
"Momofuku Milk Bar","Part of David Chang's East Village empire, Milk Bar experiments with desserts."
"Black Mountain Wine House","A mix of rustic farmhouse and Brooklyn industrial, Black Mountain's look melds with its smart wine program."
"Grünauer Bistro","Although it opened in early March, it might have been frying Wiener schnitzel and simmering tafelspitz on the corner of First Avenue and 82nd Street for decades."
"Norma's","Breakfast has its Cinderella moment at this bright and smart dining room in the Parker Meridien Hotel, where the specialty is breakfast and nothing but."
"Graffiti","The Indian-accented small plates are hit-or-miss at this small, sweet cafe."
"Taci's Beyti","The food here is as homey and reliable as the atmosphere."
"Katz's Delicatessen","Frank Bruni visits Katz's Deli, which has been a New York fixture since 1888."
"Dizengoff","An outpost of an acclaimed Philadelphia hummus counter, Dizengoff offers pita straight out of the oven, swollen and chewy at the edges with pocks of scorch, and hummus made every hour and a half."
"The Bistro at Villard Michel Richard","Villard Michel Richard, the latest restaurant to dance among the frescoes and marble pillars of the Villard mansion in Midtown, could be taken as homage to awful hotel dining rooms."
"Aurora SoHo","An offshoot of Aurora in Williamsburg, Brooklyn, Aurora SoHo offers innovative Italian regional cuisine."
"Iris Cafe","Hidden away on one of the sleepiest (and prettiest) cobblestone streets in Brooklyn Heights, the fare is simple and good, while the coffee is excellent."
"Engeline’s Restaurant and Bakeshop","The pork dishes stand out at Engeline's in Woodside, one of New York’s few outposts of Filipino cooking."
"Maggie Brown","In spite (or maybe because) of its unfocused menu, Maggie Brown in Clinton Hill is one of those quirky neighborhood fixtures where you can always find something you are craving."
"LoLo’s Seafood Shack","Behind the frosted windows of LoLo’s Seafood Shack, the extemporaneous spirit of the lolo — the kind of open-air barbecue joint found on the beaches and roadsides of St. Martin in the West Indies — is strong."
"Soba Nippon","Consuming soba is likened to a religious, or at least cleansing, experience. For this, few places are better than Soba Nippon."
"Cafe Un Deux Trois","The food's French and not very good, but if you're in need of a quick meal in the theater district, it'll do."
"Sauvage","At its best, Sauvage seems to be on to something exciting, a combination of European kitchen discipline and a gut instinct for meeting the appetite head on."
"Umi Nom","Artfully composed small plates of Asian comfort food, elevated by technique but primal in appeal."
"The Leopard at Des Artistes","Gianfranco Sorrentino and Paula Sorrentino transformed the old Café Des Artistes space into an airy and cheerful southern Italian clubhouse."
"Nabaya","At this West African restaurant only a few dishes are ever available, but they are worth it: by day, stews briny with smoked fish and crawfish powder; by night, large, single-minded plates of meat needled with Scotch bonnets."
"Hakata Tonton","A temple to the very strange idea that pigs’ feet are the missing ingredient in just about everything."
"Nougatine at Jean Georges","Though it rarely comes up in conversations about favorite Jean-Georges Vongerichten restaurants, Nougatine has been one of the most dependable, year in and year out."
"Houdini Kitchen Laboratory","Houdini isn’t an of-the-moment speakeasy; it is simply, and wonderfully, a restaurant with good food and earnest intent that just happens to be in one of the coolest spaces in the city."
"Scarpetta","Scarpetta represents chef Scott Conant's return to the New York restaurant scene after a full year away."
"Gordon Ramsay at the London","The cautious decor foreshadows a cautious menu at Gordon Ramsay at the London, where the food impresses but doesn't excite."
"El Tesoro","An Ecuadorean cafe in Sunset Park, Brooklyn."
"La Pizza Fresca","Carefully made brick-oven pizzas with firm, crisp crusts and impeccably fresh toppings are the hallmark of this simple, handsome restaurant."
"Back Forty West","For Back Forty West, Peter Hoffman took the name of his East Village restaurant, Back Forty, and borrows many of its dishes."
"Corton","At Corton, the chef Paul Liebrandt, calms down and wises up, accepting that an evening in a restaurant shouldn’t be like a visit to a fringe art gallery: geared to the intellect, reliant on provocation."
"Spicy & Tasty","Spicy & Tasty, in Flushing, Queens, is one of the most aptly named restaurants in the five boroughs — and a showcase for Sichuan cooking that doesn't hold its fire in deference to many Westerners' palates."
"St. Anselm","A charming neighborhood restaurant devoted to the pleasures of open fire, with a pulsing bass line of ambition beneath its simple steakhouse melody."
"By Chloe","By casting veganism as effervescent pixie lifestyle rather than moral crusade, By Chloe may be stealthily recruiting more followers to the cause."
"The Bronx Beer Hall","This is a noble effort to coax some youthful energy into one of New York City’s legendary Italian-American neighborhoods. It’s a lovely place to loaf, nibbling on terrifically lip-searing chicken wings and sipping from a well-chilled selection of local brews."
"Le Bernardin","No other restaurant in the city makes the simple cooking of fish seem so ripe with opportunities for excitement."
"Perry St.","At Perry St., Jean-Georges Vongerichten gives his doubters, who had grown legion, reason to believe."
"Martha","Martha in Fort Greene, Brooklyn, has a homey, built-by-hand back story, and at their best, Andres Valbuena's dishes have the noisy forthrightness of good garage rock."
"Tia Pol","You can wander into this tapas bar for wine and warm service and leave having eaten a far more cerebral meal."
"Mu Ramen","Of all the restaurants in the city where you are expected to make loud slurping noises while you eat, Joshua and Heidy Smookler’s Mu Ramen may be the most civilized."
"Gusto Ristorante e Bar Americano","In a big way Gusto goes entirely with the flow. In smaller ways it swims against the current."
"Ilili","In terms of setting, Ilili is probably the grandest excursion into Middle Eastern cooking that New York has seen."
"Ichiran","Ichiran, a Japanese ramen chain, makes one kind of soup, the opaque ivory pork broth called tonkotsu. But it presents a boggling number of choices, starting with whether to sit at a table or in one of the “flavor concentration booths.”"
"Docks Oyster Bar and Seafood Grill","A big, corporate, crowded fish emporium that gives you your money's worth."
"Fung Tu","A two-year veteran of Per Se, Jonathan Wu's cooking relies heavily on nuance, and as Fung Tu has matured the accents have been filled in."
"Boqueria","Although the tapas spirit of snacking and grazing took root in this city long ago, tapas themselves haven't been so easy to find. Boqueria is doing its bit to change that."
"Taste of Samarkand","Don’t be dissuaded by this Uzbek restaurant’s unassuming exterior. Inside is an arbor, with dangling grapes and leaves, and a menu with plenty to please, including improbably airy samsa (meat pastries), soups exhaling dill and kebabs that are hot gulps of salt and smoke."
"Franny's","Franny's earnestness, freshness and seasonality turns a seemingly ordinary menu into a road map to pure pleasure."
"Heidelberg","A meal at Heidelberg won't spearhead a movement to bring back classic German cuisine, but it's a pleasing history lesson."
"Pies ‘N’ Thighs","The thighs are as crunchy and golden as ever at this reopened Williamsburg barbecue."
"Pongal","Vegetarian cuisine of South India is the specialty at Pongal, where the food is kosher as well."
"BCD Tofu House","The BCD Tofu House chain of Korean restaurants started in Los Angeles, where it's regarded as something like Denny's with kimchi — dependable, tasty and, at the 24-hour branches, one of the city's better 4 a.m. meals."
"James","Seasonal American food with European influences, like fava bean ravioli with morels, and ricotta cheesecake beignets, are what Bryan Calvert knows best."
"Naya Mezze and Grill","New York has never had a Lebanese restaurant like Naya."
"Euzkadi","The menu at Euzkadi, a Basque restaurant in the East Village, is not so much unusual as subtly different."
"Baohaus","This tiny spot on the Lower East Side specializes in gua bao, a k a Taiwanese hamburgers."
"Hard Times Sundaes","At this food truck parked behind a Walgreen’s in Mill Basin, a neighborhood in southernmost Brooklyn, the meat is fresh ground chuck, not some proprietary blend of dry-aged Black Angus cuts.  For non-locals, the journey here — by subway, then bus — is long, and worth it."
"Eim Khao Mun Kai","At Eim Khao Mun Kai, the only dish on the menu is khao man gai, a sort of punkified cover version of Hainanese chicken rice."
"Yakitori Totto","Though the menu at Yakitori Totto has something to sate the craving of every meat lover, chicken is the focus."
"Crisp","A Midtown offshoot of a Tel Aviv shop, Crisp brings global fusion to the falafel, with popular if varying results."
"El Dugout","A truck that serves Venezuelan sandwiches at the edge of an Inwood parking lot."
"El Presidente","There's no better skirt steak at 4 a.m."
"Wo Hop","What New Yorkers used to know as a Chinese restaurant, serving an Americanized version of Chinese food."
"La Palapa","La Palapa, a bright and cheerful restaurant in the East Village, presents a lighter, subtler Mexican cuisine."
"Cooper's Tavern","Cooper's Tavern, close to Penn Station, handles its steaks ably."
"Ai Fiori","Turning an Italian lens on haute French cooking, Ai Fiori is a winning defense of fine dining in New York City from the chef Michael White."
"Jeffrey's Grocery","It looks like a corner market, but it’s really a restaurant, with rillettes, braised meat dishes and a wine list 35-bottles deep."
"RedFarm","The chef Joe Ng and the restaurateur Ed Schoenfeld tailored their menu of modern Chinese cuisine for a Western palate."
"Randazzo's Clam Bar","The dark, concentrated, oregano-accented tomato sauce ladled on hot or chilled lobster, fried shrimp, steamed mussels, scungilli or fried calamari is so central to Randazzo’s mission that some customers never look beyond it."
"Sarabeth's","This Sarabeth's, like its siblings, traffics in warm and fuzzy. But there are key differences."
"The Cacao Bar by MarieBelle","The setting says Paris, but the hot chocolate is pure Mesoamerican empire."
"Dhaulagiri Kitchen","Dhaulagiri Kitchen, whose name appears nowhere outside this shack of a storefront, shares a cramped, chaotic space with a chapati bakery. The disheveled setting is part of the charm."
