Title,Summary,review_link,review_link-href,Review,Recommended-dishes,address,telephone,drinks,cuisine
"Saxon & Parole","Saxon & Parole has an all-American, horsy-but-sleek ambience and a menu of modern surf and turf.","Read Review","http://www.nytimes.com/2011/11/02/dining/reviews/saxon-parole-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""BRAD FARMERIE, the executive chef at the new NoHo restaurant Saxon & Parole, is nothing if not versatile. When his restaurant Double Crown, a culinary fantasy of British imperialism in Asia, closed this summer, Mr. Farmerie and his partners, AvroKO Hospitality Group, quickly created an entirely different mood, aura and menu in the same space, as if they were stagehands changing sets between acts at the Metropolitan Opera.""},{""Review"":""The artifacts and tchotchkes meant to conjure up colonial nostalgia have been banished to the prop closet until the next go-round. The British-Asian mashup of a menu has gone the way of the empire, to live on through the rosy lens of memory until great minds decide it’s time to haul it back out.""}]","Casual, bustling and pleasantly clubby.","316 Bowery,
                             NoHo","212-254-0350","Music is loud in the bar, but not intrusive in the dining rooms.","American"
"Cómodo","Cómodo is almost a cliché of a romantic restaurant: white curtains wafting out into the half-deserted street, light catching on stemless wine glasses, a blur of candles against dark wood.","Read Review","http://www.nytimes.com/2012/10/31/dining/reviews/hungry-city-comodo-in-soho.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""IT is almost a cliché of a romantic restaurant: white curtains wafting out into the half-deserted street, light catching on stemless wineglasses, a blur of candles against dark wood. Couples lean forward, suddenly brimming over with things to say to each other. In a short while, it will become so loud you can barely hear yourself speak, but you will not care. This is that little out-of-the-way place you search for from the moment you move to New York, that you stumble upon one hazy night and make yours.""},{""Review"":""Cómodo opened quietly in July, on the western fringe of SoHo. The chef, Felipe Donnelly, and his wife, Tamy Rofe, the charming host, are young, practically newlyweds. Two years ago, they began moonlighting from their day jobs as advertising executives by hosting (and blogging about) weekly dinner parties in their TriBeCa apartment for small groups of strangers. Twitter fame and a cease-and-desist letter from the city health department followed. They rethought their lives. Cómodo — “comfortable” in Spanish — is a result.""}]","singlepage.com/comodo","58 Macdougal Street ,
                             SoHo","646-370-4477","Pão de queijo sliders, ajiaco soup, swordfish ceviche, mezcal octopus, warm brussels sprout Caesar salad, poblano pepper pasta, coffee-rubbed cochinita, day-boat scallops, quinoa.","Latin American"
"Flex Mussels","Flex Mussels shows off its mussels in more than 20 different dishes built around the bivalve.","Read Review","http://www.nytimes.com/2009/06/03/dining/reviews/03rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""AT first glance the words “Flex Mussels” would seem no more than a silly play on homonyms — and something of a groaner at that. But read through this restaurant’s menu, on which one fanciful mussel dish leads to another and then another after that, and you realize that its name is actually a truncated manifesto, a decree of intent, which is to show off mussels as they’ve never been shown off before.""},{""Review"":""You can have mussels in a skillet with chipotle, chorizo and calamari, or you can have them in a tall, hooded pot with pearls of roasted corn, diced country ham and a bourbon-inflected, mustard-spiked cream sauce.""}]","singlepage.com/zocalo-upper-east-side","174 East 82nd Street,
                             Upper East Side","212-717-7772","$$ (moderate)","Seafood"
"Contra","Jeremiah Stone and Fabian von Hauske have a personal, understated, modern approach to deeply seasonal cooking.","Read Review","http://www.nytimes.com/2014/03/12/dining/restaurant-review-contra-on-the-lower-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The outside makes no grand statements. A glass wall stares out at a not-yet-trendy block of Orchard Street. It’s blank except for the small menu posted by the door, offering five courses for the relatively modest sum of $55. Hanging on one inside wall, more art than ad, and almost invisible unless you are walking southbound very close to the window, is the restaurant’s name in red neon script: Contra.""},{""Review"":""At work in a compact kitchen at the far end of the earnest and narrow dining room are two chefs whose ambitions for Contra are anything but small. They want to create a style of cooking that New York can call its own.""}]","Spare and contemporary, with wood tables and benches lining a narrow alley that ends in an open kitchen.","138 Orchard Street ,
                             Lower East Side","212-466-4633","Moderate.","American"
"Spice Market","Spice Market still boasts a classier look than many restaurants of its ilk, but the cooking has turned somewhat sloppy since its opening in 2004.","Read Review","http://www.nytimes.com/2009/06/24/dining/reviews/24rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""WHEN Spice Market opened its doors in the fleetly evolving whirl of Manhattan’s meatpacking district in early 2004, it was something else: the Asian mega-restaurant reclaimed from fatuous gaudiness; a theme park, yes, but an unusually classy one in which the cooking reflected nearly as much thought as the lighting.""},{""Review"":""Other kitchens around town had done the spring rolls, satays, chicken wings, laksas and curries that Spice Market cunningly recast as high-gloss “street food,” but few had shown them as much respect. Spice Market suggested the possibility of excellence in a genre often content with frivolity.""}]","null","null","null","null","null"
"The National Bar and Dining Rooms","A lively and comfortable neighborhood bistro in the lobby of the Benjamin Hotel, with a smart, accessible and not terribly expensive menu by the celebrity chef Geoffrey Zakarian.","Read Review","http://www.nytimes.com/2011/05/11/dining/reviews/the-national-in-midtown-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""FIFTIETH Street and Lexington Avenue is the pulsing heart of no particular neighborhood, a lively intersection near the back door to the Waldorf-Astoria, just south of a DoubleTree. Office workers stream through on the way to the subway stop at the corner. Hotel guests pilot wheelie bags deep into yellow-cab traffic, and bark at one another in French. If you were looking for a neighborhood bistro of the sort where you might linger over dinner for a while, happily talking with friends while picking at fries and finishing a bottle of wine, the corner would rank low on a list of possible locations.""},{""Review"":""Here, though, is the National Bar and Dining Rooms, a relatively new neighborhood bistro of just that description. With a smart, accessible and not terribly expensive menu written by the silver-haired celebrity chef Geoffrey Zakarian and executed by Paul Corsentino, his chef de cuisine, the National delivers more than its location would promise, and handsomely. Its wide leather booth seats and a beautiful tiled floor, designed along with the rest of the restaurant by David Rockwell, manage to evoke grand European cafes. But the grand circular stairwell near the entrance, rising above and around a pristine and artfully parked delivery bicycle, speaks impressively in a more familiar accent.""}]","An elegant neighborhood bistro somehow situated in a Midtown hotel lobby.","557 Lexington Avenue,
                             Midtown East","212-715-2400","Moderate.","American"
"Bar Corvo","Bar Corvo is sleeker than its shabby-chic older sister, Al di Là’, but less daring in the kitchen. It is not quite a destination restaurant, just the restaurant everybody wants in their neighborhood.","Read Review","http://www.nytimes.com/2012/05/30/dining/reviews/bar-corvo-in-crown-heights-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""THIRTEEN years ago, no one in Manhattan went to Brooklyn for dinner by choice. You had to dangle Peter Luger as bait, and a car service back to “the city,” or at least an escort to the subway.""},{""Review"":""Then Emiliano Coppa and Anna Klinger, a Venetian and an American who had fallen in love in Italy and settled in Brooklyn, opened Al di Là in Park Slope.""}]","singlepage.com/bar-corvo","791 Washington Avenue,
                             Prospect Heights","718-230-0940","Calamari salad, warm farro salad, cauliflower, malfatti, semolina gnocchi with oxtail ragu, chitarra neri with octopus, ricotta cavatelli, heritage pork chop.","Italian"
"Angkor Cambodian Bistro","Low lights and dark wood, paintings of temples half-eaten by jungle, the interior gaze of a long-lobed Buddha head: Angkor is handsome and hushed, far from the brimming-over refugee camp in Thailand where Minh Truong, the chef, first learned to cook. His dishes are gently spiced, many harking back to the Thai restaurant he ran in Chelsea for two decades; the best draw from his mother’s Cambodian recipes.","Read Review","http://www.nytimes.com/2016/03/23/dining/hungry-city-angkor-cambodian-bistro-upper-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Low lights and dark wood, paintings of temples half-eaten by jungle, the interior gaze of a long-lobed Buddha head: The dining room of Angkor Cambodian Bistro, on the Upper East Side, is handsome and hushed, far from the brimming-over refugee camp in Thailand where Minh Truong, the chef, first learned to cook.""},{""Review"":""He was 16. Food was scarce, and volunteering for kitchen duty was one of the few ways to secure a meal. His family had fled Phnom Penh, the Cambodian capital, in 1975 as the Khmer Rouge were closing in, and made their way on foot, with seven children, to Vietnam. (It took three months; a younger brother died on the way.) Two years later, when Mr. Truong was old enough to be drafted into the Vietnamese Army, his mother sent him to Thailand.""}]","singlepage.com/angkor-cambodian-bistro","408 East 64th Street,
                             Upper East Side","212-758-2111","Nem nuong; seafood lemongrass soup; mango salad; baked amok; banh chao; nyoam; sticky-rice pudding. Prices $6 to $24.","Southeast Asian"
"Güllüoglu","This trim Turkish bakery and cafe, an outpost of a company in Istanbul, has all the makings of a proper meal.","Read Review","http://www.nytimes.com/2009/11/25/dining/reviews/25brief-001.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Gulluoglu""},{""Review"":""982 Second Avenue (East 52nd Street); (212) 813-0500; gulluoglubaklava.com.""}]","null","null","null","null","null"
"La Chine","Chinese cooking with generally excellent ingredients in preparations that climb the slopes of creativity.","Read Review","http://www.nytimes.com/2016/01/20/dining/la-chine-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""In a nest of dried grass and feathery moss sat an eggshell, its top neatly lopped off. Caviar and a crinkle of gold leaf shone just inside the rim. Underneath were layers of custard and hairy crab, a seasonal freshwater treat from China whose taste is a lot more seductive than its name. The rich, smooth pleasure in each spoonful almost made my head pop.""},{""Review"":""The egg was one of the first things I ate at La Chine, which opened in November inside the Waldorf Astoria, specializing in Chinese food made with finesse and an eye for beauty. This could get interesting, I thought. In fact, the rest of the meal and the two that followed did get interesting, in ways that those of us who love the cuisines of China wish would happen more often in New York.""}]","A spacious, elegant, white-tablecloth dining room, with restrained Chinese touches, in the Waldorf Astoria hotel. Servers are helpful and knowledgeable, though there can be long waits between courses.","540 Lexington Avenue,
                             Midtown East","212-872-4913","Civilized.","Chinese"
"Mexicocina","At this small, cheerful storefront in the South Bronx, tacos on coarse handmade corn tortillas could take most of their Manhattan rivals in a fight. But it is the daily specials that demand the trek uptown.","Read Review","http://www.nytimes.com/2012/07/25/dining/reviews/mexicocina-in-the-south-bronx-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""FROM the outside it looks like an ordinary meatball, swarthy and sizzling. In the ground beef are the faint crunch of rice, a strafing of mint, ghost trails of cumin and oregano. Then, surprise: a secret chamber filled with the yolk of a hard-boiled egg, bright yellow and just starting to deliquesce. It is the gangster movie cliché, a big lug with a heart of gold.""},{""Review"":""At Mexicocina, a small, cheerful storefront two blocks from the No. 6 train in the South Bronx, these oversize dumpling-like meatballs, called albóndigas, wallow in a robust tomato broth alongside rough blocks of potatoes ($9). Like any object of desire, they are elusive, not always available. Cross your fingers, or call ahead.""}]","singlepage.com/mexicocina","503 Jackson Avenue ,
                             North New York","347-498-1055","Albondigas en caldillo (meatballs in broth); enchiladas de borrego (lamb enchiladas); guasmole verde con costillas de cerdo (pork ribs in green roasted-tomato sauce); tacos Mexicocina (on handmade tortilla), with cecina (salted beef), carnitas (roasted pork), and al pastor (rotisserie pork with pineapple).","Mexican"
"Aureole","Aureole, is Charlie Palmer's big, sprawling series of rooms on the ground floor of the Bank of America building on 42nd Street.","Read Review","http://www.nytimes.com/2009/11/11/dining/reviews/11rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""CHARLIE PALMER opened a huge new restaurant in Manhattan this year, Aureole, a big, sprawling series of rooms on the ground floor of the Bank of America building on 42nd Street. He has around a dozen more, in Las Vegas, Reno and California’s wine country, among others, as well as a hotel, a catering outfit and a shop in Sonoma County that sells the sort of candles and bowls that you see in the homes of people who spend a lot of time shuttling among New York, Sonoma and Las Vegas.""},{""Review"":""Mr. Palmer is a big-business restaurateur, a best seller, the Dean Koontz of the sauté and oven set. It wasn’t always so. In 1988, he was just a brash young chef who had cooked at the River Café, who struck out on his own to open a creamy, luxurious town house restaurant, Aureole, on the Upper East Side. The food was American, audacious, often excellent and expensive despite a sour economy. It was New York to its core.""}]","singlepage.com/aureole","135 West 42nd Street,
                             Times Square Theatre District","212-319-1660","$$$$ (very expensive)","New American"
"Marc Forgione","Marc Forgione is rustic and urban at once, a loft that might be in a Hudson River mill town.","Read Review","http://www.nytimes.com/2010/10/06/dining/06rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""IN the imaginary New York of first novels and romantic comedies, there is often a restaurant like Marc Forgione, a brick-walled neighborhood spot glittering with candlelight and the promise of a third date going well.""},{""Review"":""The restaurant is rustic and urban at once, a loft that might be in a town farther up the Hudson River. A long bar sits to the west, with a warm, rough-hewn dining room beside it. A couple sits at the corner table under mirrors, eating crisp chicken in a gleaming black pan, the meat sitting on top of golden potatoes draped with verdant broccoli rabe. In real life, they kiss.""}]","Maybe the coolest restaurant in Dutchess County.","134 Reade Street,
                             TriBeCa","212-941-9401","Moderately loud, especially in the bar, but not overbearing.","American, New American"
"Gotham West Market","With an unusual degree of imagination, Gotham West smartly stakes out a middle ground between the star power that packs Eataly and the hope of discovery that drives small-business proving grounds like Smorgasburg.","Read Review","http://www.nytimes.com/2014/02/12/dining/restaurant-review-gotham-west-market-in-hells-kitchen.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""WHEN I ASKED a friend to meet me for dinner at a food court near the Javits Convention Center, he acted as if I had suggested we fill a fanny pack with Hot Pockets and eat them on the back of a bus.""},{""Review"":""After that, I sharpened my sales pitch. I told people that we would be inhaling ramen that is famous in Tokyo, and for good reason. I said that we would be drinking beers that were more unusual and delicious than what they were used to, and that for ballast we’d put down a layer of lamb sausage. I noted that we might sit at a tapas bar that in flavor and spirit comes as close to the Spanish ideal as any place in New York.""}]","A large, open, glassed-in food hall housing several mini-restaurants. Most have counter seating and will deliver food to communal tables that serve the whole market.","600 11th Avenue,
                             Clinton","212-582-7940","Moderate.","American, Coffee Shops, Diners, Japanese, Sandwiches, Spanish, Tapas"
"Caridad China","As at other Chino Latino restaurants in New York City, no cross-pollination of seasonings is allowed, only congenial cohabitation on the table. The Chinese dishes are truer to the Chinese restaurants of 1980s America than to China, which means everything has a slightly caramel edge.","Read Review","http://www.nytimes.com/2016/06/15/dining/caridad-china-restaurant-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The sign still says Caridad in neon script, a nod to the Latin American restaurant that once stood here on Graham Avenue in Williamsburg, Brooklyn, neighbors with a dentista, a farmacia and a 99-cent store. The thin stone veneer under the windows remains, along with the awning’s promise of “seafood, steak, pasta, mofongo,” all of which the menu faithfully delivers.""},{""Review"":""But since February, a new name, China, has been grafted onto the old. And in the kitchen, the new owner and chef, Billy Li, a native of Guangdong, China, who spent most of his life in Puerto Rico, crushes plantains in a mortar, then heaves shrimp into a giant wok.""}]","singlepage.com/caridad-restaurant-15","108 Graham Avenue,
                             Williamsburg","718-302-1102","Tostones vinaigrette; pepper steak; chicharrones de pollo; barbecue pork ribs; cheesecake.
Prices $1.95 to $35.","Chinese, Latin"
"Dawa’s","Dawa Bhuti, a young immigrant of Tibetan descent, cooks alongside her father, Ngodup Gyaltsen. The front side of the menu, devoted to brunch dishes of almost Californian lightness, is hers; the thrill is the hidden tracks, listed on the back as “ethnic plates” — Mr. Gyaltsen’s contribution from the hometown he had to leave behind.","Read Review","http://www.nytimes.com/2016/07/27/dining/dawas-restaurant-queens-tibetan-food.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The bowl of ragged-edged pork belly is a recipe from Bhutan, the meat vested with the deep sour of fermented bamboo shoots. Its flavor hints at turned earth or wood broken down by rain, a funk wonderfully, perilously close to rot.""},{""Review"":""Beside it is risotto, arborio rice gone cloudy and fat in white wine and a stock of fennel and artichoke scraps, finished not with cheese, but peas freshly shucked and tasting still new to the world.""}]","singlepage.com/dawas","51-18 Skillman Avenue,
                             Woodside","718-899-8629","Bhutanese pork belly with tingmo; shabaley; momos; stir-fried noodles; wild cod tacos; baked eggs. Prices $3.50 to $12.50.","American, Tibetan"
"Noreetuh","With prime ingredients, carefully organized plates and nonviolent prices, Noreetuh tries to tidy up Hawaiian dishes like garlic shrimp and tuna poke for their introduction to New York.","Read Review","http://www.nytimes.com/2015/06/24/dining/restaurant-reviews-noreetuh-the-eddy-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Any Hawaiian honeymooner who’s been off the plane for more than an hour can tell you that poke rhymes with O.K. and that tuna poke typically means raw ahi cut up and mixed with soy sauce, seaweed and so on.""},{""Review"":""But the people at the next table were stumped when they saw it on the menu of Noreetuh, which has been offering tastes of Hawaii in the East Village since March.""}]","Pleasant but not a selling point on its own. Service is exceptional for the prices and location.","128 First Avenue,
                             East Village","646-892-3050","Moderate.","American"
"Café de la Esquina","This offshoot La Esquina, housed in a restored '50s diner, has a friendlier door policy than its Manhattan counterpart.","Read Review","http://www.nytimes.com/2011/11/30/dining/reviews/cafe-de-la-esquina-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""225 Wythe Avenue (North Third Street), Williamsburg, Brooklyn; (718) 393-5500; esquinabk.com.""},{""Review"":""It is almost too easy to get into the back room at Café de la Esquina, the Williamsburg offshoot of La Esquina in SoHo.""}]","singlepage.com/cafe-de-la-esquina","225 Wythe Avenue,
                             Williamsburg","718-393-5500","Cochinita pibil taquitos, huitlacoche quesadilla, albondigas mole rojo guisado and pescado guisado.","Mexican"
"Toro","Toro’s food isn’t stagy or gimmicky; it's honest and thoughtful, but it can feel a bit lost in this space.","Read Review","http://www.nytimes.com/2014/01/01/dining/reviews/restaurant-review-toro.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""I can’t remember what we were eating at Toro, the new tapas restaurant in far western Chelsea, when one of the people at my table looked up in wonder.""},{""Review"":""It could have been when we were swaying like drunken sailors over the suquet de mariscos, a chowder by way of Catalonia with cool sea urchin and warm lobster bobbing in parsnip-infused milk. Or when we had finished the last shrimp in the gambas al ajillo and were scraping up the last bits of a sauce for which a tank full of lobsters must have given their shells.""}]","A vast, dim, loftlike, industrial-chic dining room; partial views of the Hudson River; full views of the West Side Highway.","85 10th Avenue ,
                             Chelsea","212-691-2360","At peak hours it sounds like the running of the bulls.","Spanish"
