name,address,zipcode,cuisine,price,violation_code,critical_flag,grade,median_household_income,median_real_estate_value,population_density,cost_of_living,population,neighborhood,borough
hanamizuki cafe,"143 w 29th st, ,",10001,japanese,$$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
alt - a little taste,"148 w 28th st, ,",10001,american,$,02G,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
luna 29 cafe,"121 w 29th,",10001,cafe,$,06F,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
dig inn seasonal market,"1178 broadway,",10001,american,$$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
impero caffè,"132 w 27th st, ,",10001,italian,$$$,06F,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
costas - south american arepas,"30 w 35th st,",10001,cuban american puerto rican latin dominican,$,09C,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
sid gold's request room,"165 w 26th st, ,",10001,bars desserts italian american,$$,06D,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
paik's noodle,"2 w 32nd st, fl 2",10001,korean chinese,$,06E,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
gaonnuri,"1250 broadway, 39th fl,",10001,korean bars,$$$,06A,Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
miss korea barbecue ''sun'',"10 w 32nd st, 1st, 2nd & 3rd fl,",10001,korean barbeque,$$,06C,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
juicology,"387 8th ave, ,",10001,bars cafe,$,06D,Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
grand sichuan,"229 9th ave, ,",10001,chinese,$$,08A,Not Critical,C,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
american whiskey,"247 w 30th st, ,",10001,bars american,$$,02G,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
a&h deli,"431 7th ave, ,",10001,asian american,$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
hoa kitchen,"370 8th ave, ,",10001,asian vietnamese chinese,$$,06D,Critical,Z,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
nick & stef's steakhouse,"9 penn plz,",10001,american,$$$,10A,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
my belly's playlist,"218 w 35th st, ,",10001,bars burgers american,$$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
rock and reillys lobby bar,"218 w 35th st, ,",10001,bars burgers american,$$,06C,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
rock & reilly's nyc,"218 w 35th st, ,",10001,bars burgers american,$$,02G,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
the kunjip,"32 w 32nd st, ,",10001,korean,$$,02B,Critical,Z,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
the kunjip,"32 w 32nd st, ,",10001,korean,$$,06C,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
sushi fussion nyc,"224 w 35th st, ,",10001,bars asian jewish japanese,$$,08A,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
vin sur vingt,"1140 broadway,",10001,bars french,$$,08A,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
madison square tavern,"150 w 30th st, ,",10001,bars american,$$,09B,Not Critical,C,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
pondicheri,"15 west 27th st,",10001,indian,$$,10I,Not Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
sweetgreen,"1164 broadway, ,",10001,vegan,$$,08A,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
the harold,"1271 broadway, ,",10001,american,$$,10H,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
barilla restaurants,"108 w 32nd st, ,",10001,italian,$$,08A,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
bombay sandwich co,"48 w 27th st, ,",10001,vegan indian,$$,04L,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
hanamichi,"28 w 32nd st, ,",10001,korean asian bars japanese,$$,08C,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
gardenia deli,"404 8th ave, ,",10001,armenian,$,06D,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
no. 7 sub,"1188 broadway, ,",10001,,$$,10B,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
crompton ale house,"159 w 26th st,",10001,bars american,$$,09C,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
panda express,"414 eighth ave,",10001,chinese,$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
by suzette,"494 8th ave, ,",10001,french,$,06D,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
porchlight,"271 11th ave, ,",10001,bars american,$$,09C,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
teremok,"358 7th ave,",10001,russian,$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
cafe r,"116 w 32nd st, ,",10001,american,$,10F,Not Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
simple eldridge,"109 eldridge st, ,",10002,hawaiian japanese american,$$,10A,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
the boil,"139 chrystie st,",10002,bars seafood,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
sweet chick,"178 ludlow st, ,",10002,american,$$,06A,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
la  contenta,"102 norfolk st, ,",10002,mexican bars,$$,04N,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
l.e.s kitchen,"15 essex st, ,",10002,burgers american,$,02C,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
bing kitchen,"71 orchard st,",10002,asian taiwanese chinese,$,06E,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
to two boonsik,"97 canal st,",10002,korean asian,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
the burgary,"67 clinton st, ,",10002,burgers,$$,06C,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
café medi,107 rivington st,10002,mediterranean american,$$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
clinton street baking company,"4 clinton st, ,",10002,american,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
benson's nyc,"181 essex st,",10002,burgers american,$$,06F,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
vanessa's dumpling house,"118a eldridge st, ,",10002,chinese,$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
taverna di bacco,"175 ludlow st, ,",10002,bars italian,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
cheeky sandwiches,"35 orchard st, ,",10002,,$,06C,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
delilah,"155 rivington st,",10002,mediterranean bars,$$,06E,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
kopitiam,"51b canal st, ,",10002,malaysian,$,06C,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
new 21 shanghai house,"21 division st, ,",10002,chinese,$$,02B,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
dirty french,"ludlow hotel, 180 ludlow st,",10002,french,$$$,04N,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
dudleys,"85 orchard st,",10002,australian,$$,10B,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
gentleman farmer,"40 rivington st,",10002,french american,$$$,06E,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
nakamura,"172 delancey st., ,",10002,japanese chinese,$$,10B,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
barrio chino,"253 broome st,",10002,mexican bars,$$,04O,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
wassail,"162 orchard st, ,",10002,bars vegan american,$$,08C,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
osaka grub,"120 essex st, ,",10002,japanese,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
speedy romeo,"63 clinton st, ,",10002,italian,$$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
russ & daughters cafe,"127 orchard st, ,",10002,seafood american,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
yopparai,"151 rivington st, 1st fl,",10002,japanese,$$$,06F,Critical,Z,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
empanada mama l.e.s,"95 allen st,",10002,cuban american puerto rican colombian latin dominican,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
contra,"138 orchard st, ,",10002,american,$$$,08C,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
balvanera,"152 stanton st, ,",10002,spanish,$$$,06C,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
le french diner,"188 orchard st, ,",10002,french,$$,06D,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
libation,"137 ludlow st, ,",10002,american,$$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
cafe katja,"79 orchard st, ,",10002,bars middle eastern european german,$$,06A,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
mazeish grill,"137 rivington st, ,",10002,mediterranean middle eastern,$,04A,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
kottu house,"250 broome st, ,",10002,asian,$$,08A,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
red compass,"154 orchard st, ,",10002,mediterranean middle eastern european bars,$$,10H,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
99 favor taste,"285 grand st, ,",10002,chinese barbeque american,$$,08C,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
cheese grille,"188 allen st, ,",10002,american,$,10B,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
kiki's,"130 division st, ,",10002,greek,$$,09C,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
delight wong restaurant,"300 grand st, ,",10002,seafood chinese,$,02G,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
vandal,"199 bowery, ,",10002,bars american,$$$,06D,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
el luchador taqueria,"132 ludlow st, ,",10002,mexican,$,05D,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
mission chinese food,"171 e broadway, ,",10002,bars desserts chinese,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
patacon pisao,"139 essex st, ,",10002,venezuelan,$,02G,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
fung tu,"22 orchard st, ,",10002,asian chinese,$$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
hill and dale,"115 allen st, ,",10002,bars american,$$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
round k,"99 allen st,",10002,cafe,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
super taste,"26 eldridge st,",10002,taiwanese chinese,$,10I,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
the ten bells,"247 broome st, ,",10002,bars french,$$,06C,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
azasu,"49 clinton st, ,",10002,bars japanese,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
spreadhouse coffee,"116 suffolk st, ,",10002,bars cafe,$,04L,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
forgtmenot,"138 division st, ,",10002,bars american,$$,09B,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
king's kitchen,"92 e broadway, ,",10002,chinese,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
shui mei cafe,"67 e broadway, ,",10002,chinese,$,02B,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
wolfnights,"99 rivington st,",10002,american,$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
la gamelle,"241 bowery, ,",10002,french american,$$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
bacaro,"136 division st, ,",10002,bars italian,$$$,02B,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
tre,"173 ludlow st, ,",10002,italian,$$,06D,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
pho vietnam 87 corporation,"87 chrystie st, ,",10002,asian vietnamese,$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
sakamai,"157 ludlow st, ,",10002,bars asian japanese,$$$,08A,Not Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
fools gold nyc,"145 e houston st, ,",10002,bars american,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
la margarita pizza,"151 ludlow st, ,",10002,italian,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
sel rrose,"1 delancey st, ,",10002,bars seafood french,$$,06F,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
kam boat bakery & cafe,"111 bowery st, ,",10002,bakery,$,04E,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
bite of hong kong 泰仁軒,"81 chrystie st, ,",10002,seafood cantonese chinese,$$,10C,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
pala,"198 allen st,",10002,italian,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
congee restaurant,"207 bowery, ,",10002,chinese,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
little chair cafe,"47 monroe st,",10002,cafe,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
blue ribbon sushi izakaya,"187 orchard st, ,",10002,bars asian japanese,$$$,06B,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
cup & saucer,"89 canal st, ,",10002,chinese american,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
wu's wonton king,"165 e broadway, ,",10002,seafood cantonese chinese,$$,10B,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
lee chung cafe,"82 madison st, ,",10002,chinese cafe,$,02B,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
dirt candy,"86 allen st, ,",10002,vegan,$$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
tiny's giant sandwich shop,"129 rivington st, ,",10002,,$,02G,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
little canal,"26 canal st,",10002,bars cafe american,$,04H,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
scarr's pizza,"22 orchard st, ,",10002,italian,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
formosa cafe,34 eldridge st,10002,chinese asian taiwanese cafe,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
pause cafe,"3 clinton st, ,",10002,bars cafe,$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
carol's bun,"139 e broadway, ,",10002,chinese,$,10F,Not Critical,Z,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
99 cents fresh slice pizza,"105 stanton st, ,",10002,italian,$,08A,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
petee's pie company,"61 delancey st, ,",10002,bakery cafe american,$,06C,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
cata restaurant,"245 bowery, ,",10002,bars spanish mediterranean,$$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
golden unicorn gourmet,"18 e broadway, ,",10002,cantonese chinese,$$,06D,Critical,P,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
clinton square pizza,"201 clinton st, ,",10002,italian,$,02G,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
jes coffee,"47 market st, ,",10002,cafe,$,04L,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
black cat les,"172 rivington st, ,",10002,vegan cafe,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
sons of essex,"133 essex st, ,",10002,bars american,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
essex taqueria,"123 essex st, ,",10002,mexican,$,08C,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
peasant stock,"120 essex st, ,",10002,,$,06C,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
hua xia restaurant,"49 division st, ,",10002,chinese,$$,06E,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
williamsburg pizza,"277 broome st, ,",10002,italian,$,06A,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
s. wan cafe,85 eldridge st lower e,10002,chinese,$,10B,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
schiller's liquor bar,"131 rivington st,",10002,bars american,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
creperie,"135 ludlow st, ,",10002,french,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
one more thai,"6 clinton st,",10002,thai,$$,04M,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
cafe petisco,"189 e broadway, ,",10002,mediterranean cafe,$$,04N,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
the fat radish,"17 orchard st, ,",10002,british american,$$$,06E,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
fuleen seafood restaurant,"11 division st, ,",10002,seafood chinese,$$,06E,Critical,B,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
mee cafe,"26 rutgers st, ,",10002,cafe,$,06E,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
happy express cafe,"6 allen st, ,",10002,cantonese chinese,$,09C,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
taco recipes,"23 essex st, ,",10002,mexican,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
sauce,"78 rivington st, ,",10002,italian,$$,04N,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
hou yi hot pot,"92 hester st, ,",10002,chinese american,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
saluggi's,"399 grand st,",10002,bars italian,$$,06E,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
new sheng wang,"27 eldridge st, ,",10002,chinese,$,10B,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
a-1 pizza shop,"505 grand st, ,",10002,italian,$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
mr. taka ramen,"170 allen st, ,",10002,japanese chinese,$$,10F,Not Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
la flaca,"384 grand st, ,",10002,mexican,$$,04N,Critical,A,33218,535600,93461,168.9,82191,Lower East Side,Manhattan
the pokespot,"120 4th ave,",10003,hawaiian asian,$$,06C,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
mid winter kitchen,"327 2nd ave,",10003,american,$$,06A,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
kotobuki manhattan,"56 3rd ave,",10003,bars seafood japanese,$$,04E,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
benemon,"108 e 4th st,",10003,japanese,$$,10F,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
tsurutontan udon noodle brasserie,"21 e 16th st, ,",10003,chinese japanese,$$,06D,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
the boil,"17 waverly pl, ,",10003,seafood american,$$,09A,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
raku,"342 e 6th st, ,",10003,chinese asian japanese,$$,10F,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
momofuku ko,"8 extra pl, ,",10003,japanese american,$$$$,06C,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
the eddy,"342 e 6th st, ,",10003,american,$$$,06F,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
gramercy farmer & the fish,"245 park ave s,",10003,seafood american,$$$,02B,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
bowllin',"27 waverly pl, ,",10003,korean asian,$$,08C,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
klong,"7 st marks pl, ,",10003,thai,$$,06E,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
the izakaya,"326 e 6th st, ,",10003,japanese,$$,09B,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
yakitori taisho,"5 st marks pl, ste 1,",10003,bars japanese,$$,04K,Critical,C,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
ootoya greenwich village,"41 e 11th st, ,",10003,japanese,$$,06F,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
mi garba,"129 4th ave, ,",10003,italian,$$,06D,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
mark,"33 st marks pl, ,",10003,burgers american,$,08A,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
misirizzi,"36 e 4th st,",10003,italian,$$$,10B,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
royal bangladesh indian restaurant,"93 1st ave, ,",10003,bangladeshi indian,$,09C,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
sigiri ny,"91 1st ave,",10003,vegan bangladeshi,$$,02G,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
ramen zundo-ya,"84 e 10th st, ,",10003,japanese chinese,$$,02G,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
korilla east village,"23 3rd ave, ,",10003,korean asian,$$,02B,Critical,B,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
maharlika,"111 1st ave, ,",10003,filipino,$$,06A,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
divya's kitchen,"25 1st ave,",10003,vegan,$$,10J,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
han dynasty,"90 3rd ave, ,",10003,chinese,$$,10F,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
asia de cuba,"415 lafayette st,",10003,chinese cuban american asian latin,$$$,05D,Critical,B,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
oiji,"119 1st ave, ,",10003,korean,$$$,10B,Not Critical,B,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
emojo burger,"261 1st ave,",10003,mexican burgers,$,10F,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
florian cafe tattoria & bar,"225 park ave s, ,",10003,italian,$$$,09C,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
xi'an famous foods,"81 st marks pl, ,",10003,burgers chinese,$,06C,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
nix,"72 university pl, ,",10003,vegan american,$$$,02G,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
friend of a farmer,"77 irving pl, ,",10003,desserts american,$$,06D,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
beyond sushi,"229 e 14th st, ,",10003,bars vegan japanese,$$,06D,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
le coq rico,"30 e 20th st,",10003,french,$$$,10B,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
num pang sandwich shop,"28 e 12th st,",10003,cambodian,$,04N,Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
panna ii garden indian restaurant,"93 1st ave, ,",10003,indian,$$,09C,Not Critical,A,92540,817700,99419,159.2,57310,Lower East Side,Manhattan
