name,address,zipcode,cuisine,price,rating,review_count
kopitiam,"51b canal st, ,",10002,malaysian breakfast & brunch singaporean,$,4.5,198
21 shanghai house,"21 division st, ,",10002,shanghainese,$$,4.0,277
dirty french,"ludlow hotel, 180 ludlow st,",10002,french,$$$,4.0,388
beauty & essex,146 essex st,10002,bars american (new) tapas/small plates,$$$,4.0,2259
dudleys,"85 orchard st,",10002,cafes breakfast & brunch,$$,4.0,345
poutine please,"7 clinton st, ,",10002,food stands poutineries,$,5.0,12
gentleman farmer,"40 rivington st,",10002,american (new) french,$$$,4.0,208
nakamura,"172 delancey st., ,",10002,ramen,$$,4.0,100
the meatball shop,"84 stanton st, ,",10002,italian american (traditional),$$,4.0,2492
doka square,"53 delancey st, ,",10002,asian fusion bars diners,$$,4.0,67
moemen,"201 allen st, ,",10002,middle eastern,$,4.0,8
the masalawala,"179 essex st, ,",10002,indian pakistani,$$,4.5,879
sun hing lung co,"58 henry st, ,",10002,chinese,$,4.5,77
barrio chino,"253 broome st,",10002,mexican bars,$$,4.0,933
wassail,"162 orchard st, ,",10002,american (new) cocktail bars,$$,4.0,178
osaka grub,"120 essex st, ,",10002,japanese,$,4.0,15
cocoron,"61 delancey st, ,",10002,japanese,$$,4.0,779
the lucky bee,"252 broome st, ,",10002,thai asian fusion cocktail bars,$$$,3.5,113
gaia italian café,"251 e houston st, ,",10002,italian,$,4.5,755
mezetto,"161 e houston st, ,",10002,mediterranean seafood breakfast & brunch,$$,4.0,382
speedy romeo,"63 clinton st, ,",10002,pizza steakhouses italian,$$,4.5,106
eastwood,"221 e broadway, ,",10002,bars american (traditional),$$,4.0,101
russ & daughters cafe,"127 orchard st, ,",10002,breakfast & brunch seafood,$$,4.0,463
the metrograph commissary,"7 ludlow st,",10002,american (new) lounges,$$,4.0,10
russ & daughters,"179 e houston st, ,",10002,specialty food bagels delis,$$,4.5,1369
claw daddy's,"185 orchard st, ,",10002,cajun/creole seafood,$$,4.0,569
yopparai,"151 rivington st, 1st fl,",10002,japanese,$$$,4.5,139
baby brasa,"129 allen st,",10002,peruvian latin american,$$,4.0,36
empanada mama l.e.s,"95 allen st,",10002,colombian empanadas,$,4.0,272
contra,"138 orchard st, ,",10002,american (new),$$$,4.0,181
goa taco,"79 delancey st,",10002,mexican vietnamese indian,$,4.5,337
balvanera,"152 stanton st, ,",10002,argentine,$$$,4.5,144
le french diner,"188 orchard st, ,",10002,french,$$,4.5,59
libation,"137 ludlow st, ,",10002,american (new) dance clubs,$$,3.0,358
cafe katja,"79 orchard st, ,",10002,pubs german austrian,$$,4.5,648
mazeish grill,"137 rivington st, ,",10002,mediterranean middle eastern,$,4.5,131
shu jiao fu zhou cuisine restaurant,118 eldridge st,10002,chinese noodles,$,4.5,299
kottu house,"250 broome st, ,",10002,sri lankan,$$,4.5,176
red compass,"154 orchard st, ,",10002,mediterranean modern european wine bars,$$,4.0,80
99 favor taste,"285 grand st, ,",10002,hot pot barbeque,$$,4.0,972
cheese grille,"188 allen st, ,",10002,american (traditional) comfort food sandwiches,$,4.5,298
wildair,"142 orchard st, ,",10002,american (new),$$$,4.0,91
kiki's,"130 division st, ,",10002,greek salad,$$,4.5,246
taste of northern china,"88 e broadway, suite 106,",10002,chinese,$,4.0,62
chloe81 blue,"81 ludlow st,",10002,seafood jazz & blues american (traditional),$$,5.0,2
big hing wong,"300 grand st, ,",10002,chinese seafood soup,$,3.0,28
mei yu spring,"29 catherine st, ,",10002,chinese,$,4.0,30
zest,"249 broome st, ,",10002,sushi bars japanese thai,$$,4.0,541
sammy's roumanian steakhouse,"157 chrystie st, ,",10002,steakhouses,$$$,4.0,319
vandal,"199 bowery, ,",10002,tapas bars lounges,$$$,3.5,553
shopsin's,"essex st market, 120 essex st,",10002,diners breakfast & brunch,$$,4.0,614
black crescent,"76 clinton st, ,",10002,bars seafood,$$,4.0,98
bar goto,"245 eldridge st, ,",10002,cocktail bars japanese,$$,4.5,108
el luchador taqueria,"132 ludlow st, ,",10002,mexican,$,3.0,25
mission chinese,"171 e broadway, ,",10002,chinese desserts cocktail bars,$$,3.0,425
patacon pisao,"139 essex st, ,",10002,venezuelan sandwiches,$,4.0,200
fung tu,"22 orchard st, ,",10002,asian fusion chinese,$$$,4.0,162
louie and chan,"303 broome st, ,",10002,italian lounges cocktail bars,$$,4.0,162
hill and dale,"115 allen st, ,",10002,bars american (new),$$,4.0,308
round k,"99 allen st,",10002,coffee & tea breakfast & brunch bagels,$,4.5,136
yaya tea garden,"51 chrystie st, ,",10002,coffee & tea japanese bubble tea,$,4.0,371
super taste,"26 eldridge st,",10002,noodles taiwanese,$,4.0,376
the ten bells,"247 broome st, ,",10002,wine bars tapas bars,$$,3.5,367
azasu,"49 clinton st, ,",10002,japanese sandwiches cocktail bars,$$,4.0,64
spicy village,"68 forsyth st, ste b,",10002,chinese,$,4.0,304
spreadhouse cafe,"116 suffolk st, ,",10002,coffee & tea cafes wine bars,$,4.0,222
forgtmenot,"138 division st, ,",10002,bars american (new),$$,4.0,121
king's kitchen,"92 e broadway, ,",10002,chinese,$,4.0,85
shui mei cafe,"67 e broadway, ,",10002,cafes chinese,$,4.5,23
wolfnights,"99 rivington st,",10002,sandwiches,$,4.0,353
la gamelle,"241 bowery, ,",10002,french,$$,4.0,76
bacaro,"136 division st, ,",10002,italian bars,$$$,4.0,333
tre,"173 ludlow st, ,",10002,italian,$$,3.5,382
lucky plaza restaurant,"81 chrystie st, ,",10002,chinese,$$,3.0,30
ni japanese delicacies,"120 essex st, ,",10002,japanese delis,$,4.5,35
charrua,"131 essex st,",10002,latin american,$$,4.0,87
the john lamb,"120 allen st, 119 orchard st,",10002,cocktail bars american (new) tapas/small plates,$$,4.5,17
soy,"102 suffolk st, ,",10002,japanese,$$,4.0,100
pho vietnam 87,"87 chrystie st, ,",10002,vietnamese,$,4.0,257
sakamai,"157 ludlow st, ,",10002,japanese tapas/small plates cocktail bars,$$$,4.0,409
gen ramen house,"112 eldridge st,",10002,ramen dim sum,$,3.5,72
fools gold nyc,"145 e houston st, ,",10002,gastropubs pubs cocktail bars,$$,4.0,192
la margarita pizza,"151 ludlow st, ,",10002,pizza,$,4.5,197
ninja sushi nyc,"109 madison st,",10002,sushi bars tacos,$$,2.5,8
one mile house,"10 delancey st, ,",10002,bars american (traditional),$$,4.0,168
sel rrose,"1 delancey st, ,",10002,cocktail bars seafood cafes,$$,4.0,261
souvlaki gr,"116 stanton st, ,",10002,greek,$$,4.0,654
long xin restaurant,"50 eldridge st, ,",10002,chinese,$,4.5,7
rizzo's fine pizza,"17 clinton st, ,",10002,pizza,$$,4.5,411
farmhouse restaurant,"81 ludlow st, ,",10002,american (new) breakfast & brunch,$$,3.5,61
kam boat bakery & cafe,"111 bowery st, ,",10002,bakeries cafes,$,4.5,45
le turtle,"177 chrystie st, ,",10002,modern european french,$$$,4.0,69
bite of hong kong 泰仁軒,"81 chrystie st, ,",10002,seafood cantonese,$$,3.5,44
jadis,"42 rivington st, ,",10002,french wine bars,$$,4.0,430
pala,"198 allen st,",10002,pizza italian gluten-free,$$,4.0,552
koneko,"26 clinton st, ,",10002,cafes venues & event spaces breakfast & brunch,$$,4.5,137
cc's cafe,"41 monroe st, ,",10002,cafes breakfast & brunch american (new),$$,4.5,74
dimes,"49 canal st, ,",10002,american (new) salad breakfast & brunch,$$,3.5,142
nordic preserves fish and wildlife company,"120 essex st, ,",10002,scandinavian,$$,5.0,17
ling kee beef jerky,"42 canal st, ,",10002,chinese barbeque,$,4.5,109
congee bowery,"207 bowery, ,",10002,chinese,$$,3.5,323
little chair cafe,"47 monroe st,",10002,coffee & tea sandwiches salad,$,4.0,13
blue ribbon sushi izakaya,"187 orchard st, ,",10002,asian fusion sushi bars breakfast & brunch,$$$,4.0,363
rochelles,"205 chrystie st, ,",10002,cocktail bars american (new) gastropubs,$$,3.5,92
cup & saucer,"89 canal st, ,",10002,diners chinese,$,4.0,190
wu's wonton king,"165 e broadway, ,",10002,cantonese seafood dim sum,$$,3.5,64
lee chung cafe,"82 madison st, ,",10002,coffee & tea chinese,$,3.5,14
dirt candy,"86 allen st, ,",10002,vegetarian vegan,$$$,4.0,340
hotel chantelle,"92 ludlow st, ,",10002,french bars,$$,3.0,790
tiny's giant sandwich shop,"129 rivington st, ,",10002,sandwiches,$,4.0,404
congee village,"100 allen st, ,",10002,cantonese,$$,3.5,1193
wong wah bakery house,"83 canal st, ,",10002,bakeries chinese,$,4.0,23
an choi,"85 orchard st, ,",10002,vietnamese sandwiches,$$,3.5,405
kong kee,"212 grand st, ,",10002,chinese,$,4.0,38
little canal,"26 canal st,",10002,coffee & tea cafes wine bars,$,4.0,29
el rey coffee and luncheonette,"100 stanton, ,",10002,coffee & tea american (new),$$,4.0,171
les crêpes & taqueria,"25a essex st, ,",10002,mexican,$,4.0,43
china north dumpling,"27 essex st, ste a,",10002,chinese,$,4.0,221
scarr's pizza,"22 orchard st, ,",10002,pizza,$,4.5,49
cheesesteak factory,"191 e houston st,",10002,sandwiches desserts,$,3.0,6
formosa cafe,34 eldridge st,10002,bubble tea chinese taiwanese,$,3.5,69
yonah schimmel's knish bakery,"137 e houston st, ,",10002,bakeries,$,4.0,463
pause cafe,"3 clinton st, ,",10002,moroccan cafes juice bars & smoothies,$,4.5,213
carol's bun,"139 e broadway, ,",10002,chinese,$,4.0,16
loho gourmet deli,"204 clinton st, ,",10002,delis,$,5.0,17
99 cents fresh slice pizza,"105 stanton st, ,",10002,pizza,$,3.0,7
petee's pie company,"61 delancey st, ,",10002,bakeries comfort food coffee & tea,$,4.5,354
cata restaurant,"245 bowery, ,",10002,tapas/small plates cocktail bars mediterranean,$$$,4.0,243
golden unicorn,"18 e broadway, ,",10002,dim sum cantonese,$$,3.5,1237
arancini bros,"120 essex st, ,",10002,italian,$,4.5,8
clinton square pizza,"201 clinton st, ,",10002,pizza,$,4.5,37
jes coffee,"47 market st, ,",10002,cafes,$,5.0,6
tu do restaurant corporation,"119 bowery, ,",10002,restaurants,$$,3.5,4
black cat les,"172 rivington st, ,",10002,coffee & tea breakfast & brunch vegan,$,4.0,159
sons of essex,"133 essex st, ,",10002,american (new) bars breakfast & brunch,$$,3.5,689
essex taqueria,"123 essex st, ,",10002,mexican,$,4.0,147
macondo east,"157 e houston st, ,",10002,latin american tapas bars,$$,3.5,687
peasant stock,"120 essex st, ,",10002,soup,$,4.5,38
cong ly restaurant,"124 hester st, ,",10002,vietnamese,$,3.5,242
casa mezcal,"86 orchard st, ,",10002,mexican,$$,3.5,320
new wong rest,"103 e broadway, ,",10002,chinese,$,4.0,30
